game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,greedy,expectimax_d3,B,12,20,0.418124300,36.012309200,25,25,25,25
1,greedy,expectimax_d3,A,18,16,0.447973300,32.699046600,25,25,25,25
2,greedy,expectimax_d3,A,19,14,0.488167700,34.753553600,25,25,25,25
