game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,random,rule,B,7,9,0.000020400,0.011169100,8,7
1,random,rule,B,10,135,0.000162600,0.218961200,50,50
2,random,rule,B,13,126,0.000169200,0.309147100,50,50
3,random,rule,draw,0,0,0.000004300,0.000000000,1,0
4,random,rule,B,2,149,0.000160200,0.168475300,50,50
5,random,rule,B,14,120,0.000171900,0.232950700,50,50
6,random,rule,B,10,134,0.000185800,0.232632699,50,50
7,random,rule,B,6,140,0.000137500,0.207361200,50,50
