game,agent_a,agent_b,winner,score_a,score_b
0,rule,random,A,99,11
1,rule,random,A,96,11
2,rule,random,A,26,3
3,rule,random,A,95,6
4,rule,random,A,104,7
5,rule,random,A,96,5
6,rule,random,A,11,1
7,rule,random,A,103,6
8,rule,random,draw,0,0
9,rule,random,A,103,2
10,rule,random,A,98,10
11,rule,random,A,95,9
12,rule,random,A,94,0
13,rule,random,A,22,2
14,rule,random,A,93,8
15,rule,random,A,103,1
16,rule,random,A,102,2
17,rule,random,A,93,8
18,rule,random,A,97,7
19,rule,random,A,94,7
20,rule,random,A,93,8
21,rule,random,A,100,4
22,rule,random,A,93,8
23,rule,random,A,1,0
24,rule,random,A,89,12
25,rule,random,A,96,13
26,rule,random,A,103,5
27,rule,random,A,96,5
28,rule,random,A,95,5
29,rule,random,A,1,0
