game,agent_a,agent_b,winner,score_a,score_b
0,expectimax,random,A,97,5
1,expectimax,random,A,99,0
2,expectimax,random,A,93,8
3,expectimax,random,A,94,4
4,expectimax,random,A,94,5
5,expectimax,random,A,99,3
6,expectimax,random,A,90,6
7,expectimax,random,A,98,3
8,expectimax,random,draw,0,0
9,expectimax,random,A,87,5
10,expectimax,random,A,95,3
11,expectimax,random,A,85,11
12,expectimax,random,A,93,5
13,expectimax,random,A,78,16
14,expectimax,random,A,79,17
15,expectimax,random,A,97,1
16,expectimax,random,A,82,12
17,expectimax,random,A,83,8
18,expectimax,random,A,96,5
19,expectimax,random,A,92,7
20,expectimax,random,A,84,4
21,expectimax,random,A,80,9
22,expectimax,random,A,92,8
23,expectimax,random,A,3,0
24,expectimax,random,A,87,9
25,expectimax,random,A,87,6
26,expectimax,random,A,94,11
27,expectimax,random,A,84,5
28,expectimax,random,A,85,10
29,expectimax,random,A,3,0
