game,agent_a,agent_b,winner,score_a,score_b
0,mcts,mcts,A,4,0
1,mcts,mcts,A,65,39
2,mcts,mcts,A,61,45
3,mcts,mcts,B,38,59
4,mcts,mcts,A,2,0
5,mcts,mcts,A,25,10
6,mcts,mcts,B,9,25
7,mcts,mcts,B,15,17
8,mcts,mcts,draw,0,0
9,mcts,mcts,B,50,51
10,mcts,mcts,B,2,3
11,mcts,mcts,A,4,3
12,mcts,mcts,A,2,0
13,mcts,mcts,B,1,8
14,mcts,mcts,A,15,13
15,mcts,mcts,A,59,35
16,mcts,mcts,A,9,7
17,mcts,mcts,B,47,59
18,mcts,mcts,A,52,50
19,mcts,mcts,A,1,0
20,mcts,mcts,draw,49,49
21,mcts,mcts,A,7,1
22,mcts,mcts,A,50,31
23,mcts,mcts,A,67,44
24,mcts,mcts,B,41,52
25,mcts,mcts,draw,0,0
26,mcts,mcts,A,15,11
27,mcts,mcts,B,43,63
28,mcts,mcts,A,14,12
29,mcts,mcts,A,3,0
