game,agent_a,agent_b,winner,score_a,score_b
0,greedy,rule,B,31,76
1,greedy,rule,B,41,63
2,greedy,rule,B,36,71
3,greedy,rule,B,41,68
4,greedy,rule,B,33,74
5,greedy,rule,B,34,65
6,greedy,rule,B,47,64
7,greedy,rule,B,40,66
8,greedy,rule,draw,0,0
9,greedy,rule,B,24,79
10,greedy,rule,B,44,63
11,greedy,rule,B,32,75
12,greedy,rule,B,46,61
13,greedy,rule,B,30,76
14,greedy,rule,B,15,92
15,greedy,rule,B,34,77
16,greedy,rule,B,27,76
17,greedy,rule,B,21,77
18,greedy,rule,B,33,72
19,greedy,rule,draw,53,53
20,greedy,rule,B,35,64
21,greedy,rule,B,18,91
22,greedy,rule,B,45,59
23,greedy,rule,B,24,75
24,greedy,rule,B,30,76
25,greedy,rule,B,32,70
26,greedy,rule,B,34,71
27,greedy,rule,B,40,69
28,greedy,rule,B,40,69
29,greedy,rule,B,44,59
