game,agent_a,agent_b,winner,score_a,score_b
0,random,minimax,B,5,55
1,random,minimax,B,8,93
2,random,minimax,B,10,83
3,random,minimax,draw,0,0
4,random,minimax,B,6,102
5,random,minimax,B,3,90
6,random,minimax,B,7,87
7,random,minimax,B,7,75
8,random,minimax,draw,0,0
9,random,minimax,B,9,95
10,random,minimax,B,5,95
11,random,minimax,B,10,89
12,random,minimax,B,9,48
13,random,minimax,B,7,47
14,random,minimax,B,1,99
15,random,minimax,B,9,93
16,random,minimax,B,2,102
17,random,minimax,B,8,82
18,random,minimax,B,3,99
19,random,minimax,B,7,95
20,random,minimax,B,14,82
21,random,minimax,B,7,94
22,random,minimax,B,3,100
23,random,minimax,B,0,3
24,random,minimax,draw,0,0
25,random,minimax,B,1,14
26,random,minimax,B,4,91
27,random,minimax,B,10,92
28,random,minimax,draw,0,0
29,random,minimax,B,3,91
