game,agent_a,agent_b,winner,score_a,score_b
0,minimax,rule,B,50,57
1,minimax,rule,B,53,58
2,minimax,rule,A,58,52
3,minimax,rule,A,63,45
4,minimax,rule,B,38,70
5,minimax,rule,A,63,47
6,minimax,rule,A,64,50
7,minimax,rule,B,46,63
8,minimax,rule,draw,0,0
9,minimax,rule,B,36,71
10,minimax,rule,B,44,59
11,minimax,rule,B,49,60
12,minimax,rule,A,71,40
13,minimax,rule,B,31,78
14,minimax,rule,A,68,47
15,minimax,rule,B,52,61
16,minimax,rule,B,36,65
17,minimax,rule,B,38,68
18,minimax,rule,A,57,50
19,minimax,rule,draw,54,54
20,minimax,rule,B,44,60
21,minimax,rule,B,44,65
22,minimax,rule,A,56,51
23,minimax,rule,B,19,33
24,minimax,rule,B,39,62
25,minimax,rule,A,58,47
26,minimax,rule,B,50,60
27,minimax,rule,B,53,61
28,minimax,rule,A,72,37
29,minimax,rule,A,70,37
