game,agent_a,agent_b,winner,score_a,score_b
0,minimax,mcts,B,54,55
1,minimax,mcts,B,50,58
2,minimax,mcts,A,69,29
3,minimax,mcts,A,68,40
4,minimax,mcts,A,57,49
5,minimax,mcts,B,53,55
6,minimax,mcts,A,48,29
7,minimax,mcts,B,41,67
8,minimax,mcts,draw,0,0
9,minimax,mcts,A,37,17
10,minimax,mcts,A,4,0
11,minimax,mcts,A,43,33
12,minimax,mcts,A,2,0
13,minimax,mcts,A,60,43
14,minimax,mcts,A,72,40
15,minimax,mcts,A,67,40
16,minimax,mcts,A,55,50
17,minimax,mcts,B,3,8
18,minimax,mcts,A,53,49
19,minimax,mcts,A,1,0
20,minimax,mcts,A,15,11
21,minimax,mcts,A,63,42
22,minimax,mcts,A,6,0
23,minimax,mcts,A,53,51
24,minimax,mcts,draw,0,0
25,minimax,mcts,A,54,52
26,minimax,mcts,B,28,40
27,minimax,mcts,B,52,55
28,minimax,mcts,A,68,29
29,minimax,mcts,A,3,0
