game,agent_a,agent_b,winner,score_a,score_b
0,rule,rule,B,51,65
1,rule,rule,A,72,44
2,rule,rule,A,59,56
3,rule,rule,A,64,47
4,rule,rule,B,55,58
5,rule,rule,A,69,45
6,rule,rule,B,40,69
7,rule,rule,A,67,47
8,rule,rule,draw,0,0
9,rule,rule,B,35,74
10,rule,rule,B,51,61
11,rule,rule,B,55,57
12,rule,rule,B,49,66
13,rule,rule,A,64,48
14,rule,rule,A,64,50
15,rule,rule,A,64,50
16,rule,rule,A,55,54
17,rule,rule,B,54,56
18,rule,rule,B,51,62
19,rule,rule,A,67,42
20,rule,rule,A,62,49
21,rule,rule,B,48,65
22,rule,rule,A,59,57
23,rule,rule,B,54,56
24,rule,rule,A,64,43
25,rule,rule,A,72,38
26,rule,rule,B,54,61
27,rule,rule,A,62,52
28,rule,rule,B,57,60
29,rule,rule,A,58,54
