game,agent_a,agent_b,winner,score_a,score_b
0,rule,minimax,B,36,73
1,rule,minimax,B,50,59
2,rule,minimax,A,59,52
3,rule,minimax,A,60,49
4,rule,minimax,B,51,61
5,rule,minimax,A,84,28
6,rule,minimax,B,45,61
7,rule,minimax,A,61,51
8,rule,minimax,draw,0,0
9,rule,minimax,B,53,54
10,rule,minimax,A,59,50
11,rule,minimax,A,70,36
12,rule,minimax,A,56,55
13,rule,minimax,A,66,42
14,rule,minimax,A,60,48
15,rule,minimax,A,67,44
16,rule,minimax,A,62,46
17,rule,minimax,B,39,72
18,rule,minimax,A,58,51
19,rule,minimax,A,63,42
20,rule,minimax,B,49,56
21,rule,minimax,A,66,43
22,rule,minimax,A,59,51
23,rule,minimax,draw,53,53
24,rule,minimax,A,54,49
25,rule,minimax,A,73,38
26,rule,minimax,A,63,52
27,rule,minimax,A,66,47
28,rule,minimax,A,72,41
29,rule,minimax,A,1,0
