game,agent_a,agent_b,winner,score_a,score_b
0,rule,mcts,A,4,0
1,rule,mcts,A,55,50
2,rule,mcts,A,67,43
3,rule,mcts,A,81,27
4,rule,mcts,A,72,35
5,rule,mcts,A,73,28
6,rule,mcts,B,52,58
7,rule,mcts,A,62,46
8,rule,mcts,draw,0,0
9,rule,mcts,A,66,43
10,rule,mcts,A,56,53
11,rule,mcts,A,61,51
12,rule,mcts,B,45,64
13,rule,mcts,A,70,40
14,rule,mcts,A,14,4
15,rule,mcts,A,66,46
16,rule,mcts,A,73,38
17,rule,mcts,B,45,64
18,rule,mcts,A,71,38
19,rule,mcts,A,2,0
20,rule,mcts,A,59,44
21,rule,mcts,B,51,60
22,rule,mcts,A,13,4
23,rule,mcts,A,57,55
24,rule,mcts,A,57,50
25,rule,mcts,A,69,37
26,rule,mcts,A,68,46
27,rule,mcts,A,61,52
28,rule,mcts,A,16,15
29,rule,mcts,A,1,0
