game,agent_a,agent_b,winner,score_a,score_b
0,mcts,random,A,8,2
1,mcts,random,A,65,0
2,mcts,random,A,80,8
3,mcts,random,A,61,12
4,mcts,random,A,85,8
5,mcts,random,A,52,9
6,mcts,random,A,6,0
7,mcts,random,A,91,11
8,mcts,random,draw,0,0
9,mcts,random,A,72,11
10,mcts,random,A,19,1
11,mcts,random,A,77,4
12,mcts,random,A,84,5
13,mcts,random,A,20,0
14,mcts,random,A,86,7
15,mcts,random,A,95,5
16,mcts,random,A,59,3
17,mcts,random,draw,0,0
18,mcts,random,A,73,15
19,mcts,random,A,70,10
20,mcts,random,A,89,3
21,mcts,random,A,80,10
22,mcts,random,A,86,8
23,mcts,random,A,1,0
24,mcts,random,draw,0,0
25,mcts,random,A,67,12
26,mcts,random,A,87,11
27,mcts,random,A,76,9
28,mcts,random,A,6,4
29,mcts,random,A,3,0
