game,agent_a,agent_b,winner,score_a,score_b
0,mcts,minimax,B,50,55
1,mcts,minimax,B,45,58
2,mcts,minimax,B,30,71
3,mcts,minimax,B,50,53
4,mcts,minimax,B,38,60
5,mcts,minimax,A,60,35
6,mcts,minimax,A,21,12
7,mcts,minimax,B,39,61
8,mcts,minimax,draw,0,0
9,mcts,minimax,B,44,58
10,mcts,minimax,draw,54,54
11,mcts,minimax,A,57,49
12,mcts,minimax,B,50,51
13,mcts,minimax,B,37,66
14,mcts,minimax,B,51,57
15,mcts,minimax,B,17,32
16,mcts,minimax,B,40,61
17,mcts,minimax,B,49,55
18,mcts,minimax,B,48,53
19,mcts,minimax,B,36,68
20,mcts,minimax,A,49,46
21,mcts,minimax,B,35,63
22,mcts,minimax,A,53,50
23,mcts,minimax,draw,1,1
24,mcts,minimax,draw,0,0
25,mcts,minimax,B,47,54
26,mcts,minimax,B,35,70
27,mcts,minimax,A,58,50
28,mcts,minimax,B,50,54
29,mcts,minimax,B,44,62
