game,agent_a,agent_b,winner,score_a,score_b
0,greedy,greedy,B,33,65
1,greedy,greedy,A,69,24
2,greedy,greedy,B,43,58
3,greedy,greedy,A,54,45
4,greedy,greedy,A,49,48
5,greedy,greedy,B,40,62
6,greedy,greedy,B,45,48
7,greedy,greedy,A,62,36
8,greedy,greedy,draw,0,0
9,greedy,greedy,B,31,63
10,greedy,greedy,A,62,30
11,greedy,greedy,A,58,47
12,greedy,greedy,A,60,41
13,greedy,greedy,A,51,45
14,greedy,greedy,A,59,42
15,greedy,greedy,A,54,50
16,greedy,greedy,A,54,42
17,greedy,greedy,A,55,41
18,greedy,greedy,B,41,59
19,greedy,greedy,A,71,22
20,greedy,greedy,A,56,43
21,greedy,greedy,B,44,49
22,greedy,greedy,B,46,55
23,greedy,greedy,B,34,67
24,greedy,greedy,B,36,57
25,greedy,greedy,draw,47,47
26,greedy,greedy,B,42,58
27,greedy,greedy,A,63,39
28,greedy,greedy,A,57,36
29,greedy,greedy,A,51,43
