game,agent_a,agent_b,winner,score_a,score_b
0,random,random,draw,0,0
1,random,random,draw,0,0
2,random,random,A,19,18
3,random,random,draw,0,0
4,random,random,B,3,4
5,random,random,B,1,10
6,random,random,A,5,0
7,random,random,B,26,30
8,random,random,draw,0,0
9,random,random,B,19,30
10,random,random,A,4,3
11,random,random,B,8,25
12,random,random,A,6,4
13,random,random,A,9,0
14,random,random,A,8,7
15,random,random,draw,0,0
16,random,random,A,5,0
17,random,random,B,23,37
18,random,random,A,3,0
19,random,random,draw,0,0
20,random,random,A,33,30
21,random,random,draw,22,22
22,random,random,B,0,4
23,random,random,draw,0,0
24,random,random,draw,0,0
25,random,random,draw,3,3
26,random,random,A,22,19
27,random,random,B,2,9
28,random,random,draw,0,0
29,random,random,draw,0,0
