game,agent_a,agent_b,winner,score_a,score_b
0,mcts,greedy,A,51,47
1,mcts,greedy,A,65,36
2,mcts,greedy,A,65,32
3,mcts,greedy,A,54,48
4,mcts,greedy,A,52,50
5,mcts,greedy,A,69,23
6,mcts,greedy,A,43,21
7,mcts,greedy,A,53,47
8,mcts,greedy,draw,0,0
9,mcts,greedy,draw,53,53
10,mcts,greedy,A,68,40
11,mcts,greedy,A,66,36
12,mcts,greedy,A,56,35
13,mcts,greedy,B,49,53
14,mcts,greedy,A,51,38
15,mcts,greedy,A,76,34
16,mcts,greedy,A,64,34
17,mcts,greedy,B,50,53
18,mcts,greedy,A,55,43
19,mcts,greedy,A,64,34
20,mcts,greedy,A,77,25
21,mcts,greedy,A,53,49
22,mcts,greedy,A,64,36
23,mcts,greedy,A,78,24
24,mcts,greedy,A,68,34
25,mcts,greedy,A,71,30
26,mcts,greedy,A,66,40
27,mcts,greedy,A,73,24
28,mcts,greedy,A,71,31
29,mcts,greedy,B,42,53
