game,agent_a,agent_b,winner,score_a,score_b
0,minimax,expectimax,A,52,47
1,minimax,expectimax,A,61,37
2,minimax,expectimax,A,65,40
3,minimax,expectimax,A,67,36
4,minimax,expectimax,B,35,66
5,minimax,expectimax,A,59,29
6,minimax,expectimax,A,21,10
7,minimax,expectimax,A,64,45
8,minimax,expectimax,draw,0,0
9,minimax,expectimax,B,38,60
10,minimax,expectimax,B,38,57
11,minimax,expectimax,A,52,50
12,minimax,expectimax,A,2,0
13,minimax,expectimax,A,61,39
14,minimax,expectimax,A,16,13
15,minimax,expectimax,B,44,55
16,minimax,expectimax,A,52,49
17,minimax,expectimax,B,39,56
18,minimax,expectimax,A,54,52
19,minimax,expectimax,A,55,44
20,minimax,expectimax,A,61,40
21,minimax,expectimax,B,33,66
22,minimax,expectimax,B,45,53
23,minimax,expectimax,B,45,53
24,minimax,expectimax,B,44,59
25,minimax,expectimax,draw,48,48
26,minimax,expectimax,A,59,39
27,minimax,expectimax,B,15,57
28,minimax,expectimax,A,53,50
29,minimax,expectimax,A,66,36
