game,agent_a,agent_b,winner,score_a,score_b
0,minimax,random,A,94,9
1,minimax,random,A,101,4
2,minimax,random,A,84,10
3,minimax,random,A,88,4
4,minimax,random,A,91,12
5,minimax,random,A,96,5
6,minimax,random,A,89,8
7,minimax,random,A,102,5
8,minimax,random,draw,0,0
9,minimax,random,A,94,1
10,minimax,random,A,86,5
11,minimax,random,A,28,2
12,minimax,random,A,95,2
13,minimax,random,A,90,5
14,minimax,random,A,102,3
15,minimax,random,A,95,6
16,minimax,random,A,93,4
17,minimax,random,A,84,10
18,minimax,random,A,100,3
19,minimax,random,A,94,2
20,minimax,random,A,89,3
21,minimax,random,A,87,4
22,minimax,random,A,91,5
23,minimax,random,A,3,0
24,minimax,random,A,84,7
25,minimax,random,A,90,2
26,minimax,random,A,56,9
27,minimax,random,A,88,11
28,minimax,random,A,82,7
29,minimax,random,A,3,0
