game,agent_a,agent_b,winner,score_a,score_b
0,expectimax,expectimax,B,24,43
1,expectimax,expectimax,A,56,46
2,expectimax,expectimax,A,64,44
3,expectimax,expectimax,B,36,65
4,expectimax,expectimax,B,52,55
5,expectimax,expectimax,A,12,6
6,expectimax,expectimax,B,44,58
7,expectimax,expectimax,A,60,42
8,expectimax,expectimax,draw,0,0
9,expectimax,expectimax,B,33,62
10,expectimax,expectimax,A,51,50
11,expectimax,expectimax,A,49,47
12,expectimax,expectimax,A,2,0
13,expectimax,expectimax,A,53,51
14,expectimax,expectimax,B,43,51
15,expectimax,expectimax,A,52,44
16,expectimax,expectimax,B,39,66
17,expectimax,expectimax,B,3,6
18,expectimax,expectimax,B,50,56
19,expectimax,expectimax,B,0,1
20,expectimax,expectimax,B,48,50
21,expectimax,expectimax,A,54,51
22,expectimax,expectimax,A,57,41
23,expectimax,expectimax,B,45,54
24,expectimax,expectimax,B,32,71
25,expectimax,expectimax,A,48,47
26,expectimax,expectimax,B,46,53
27,expectimax,expectimax,A,67,36
28,expectimax,expectimax,A,57,26
29,expectimax,expectimax,A,51,44
