game,agent_a,agent_b,winner,score_a,score_b
0,minimax,minimax,B,51,54
1,minimax,minimax,B,45,62
2,minimax,minimax,A,58,48
3,minimax,minimax,A,76,25
4,minimax,minimax,B,41,61
5,minimax,minimax,A,60,39
6,minimax,minimax,B,33,34
7,minimax,minimax,B,48,59
8,minimax,minimax,draw,0,0
9,minimax,minimax,B,34,70
10,minimax,minimax,A,49,42
11,minimax,minimax,B,49,54
12,minimax,minimax,B,48,59
13,minimax,minimax,A,59,48
14,minimax,minimax,A,52,47
15,minimax,minimax,A,60,48
16,minimax,minimax,A,53,48
17,minimax,minimax,A,53,41
18,minimax,minimax,A,57,50
19,minimax,minimax,A,58,43
20,minimax,minimax,A,69,33
21,minimax,minimax,B,39,67
22,minimax,minimax,A,72,31
23,minimax,minimax,B,39,70
24,minimax,minimax,B,47,57
25,minimax,minimax,A,84,21
26,minimax,minimax,B,45,56
27,minimax,minimax,B,39,66
28,minimax,minimax,A,57,43
29,minimax,minimax,A,60,35
