game,agent_a,agent_b,winner,score_a,score_b
0,expectimax,mcts,A,20,14
1,expectimax,mcts,B,51,61
2,expectimax,mcts,B,43,60
3,expectimax,mcts,A,58,42
4,expectimax,mcts,A,54,49
5,expectimax,mcts,A,58,40
6,expectimax,mcts,A,48,22
7,expectimax,mcts,B,44,60
8,expectimax,mcts,draw,0,0
9,expectimax,mcts,draw,54,54
10,expectimax,mcts,A,4,0
11,expectimax,mcts,A,58,47
12,expectimax,mcts,A,63,37
13,expectimax,mcts,A,62,45
14,expectimax,mcts,B,50,61
15,expectimax,mcts,B,49,59
16,expectimax,mcts,A,68,39
17,expectimax,mcts,A,66,35
18,expectimax,mcts,B,52,54
19,expectimax,mcts,A,1,0
20,expectimax,mcts,B,48,57
21,expectimax,mcts,draw,51,51
22,expectimax,mcts,A,6,0
23,expectimax,mcts,A,57,43
24,expectimax,mcts,draw,0,0
25,expectimax,mcts,A,54,51
26,expectimax,mcts,A,53,52
27,expectimax,mcts,A,66,36
28,expectimax,mcts,A,59,45
29,expectimax,mcts,A,3,0
