game,agent_a,agent_b,winner,score_a,score_b
0,mcts,rule,B,42,72
1,mcts,rule,B,54,56
2,mcts,rule,B,46,68
3,mcts,rule,A,61,45
4,mcts,rule,B,45,63
5,mcts,rule,B,44,63
6,mcts,rule,A,58,50
7,mcts,rule,B,48,62
8,mcts,rule,draw,0,0
9,mcts,rule,B,43,63
10,mcts,rule,A,64,48
11,mcts,rule,B,42,68
12,mcts,rule,B,52,59
13,mcts,rule,A,52,51
14,mcts,rule,B,15,16
15,mcts,rule,B,38,69
16,mcts,rule,B,45,64
17,mcts,rule,B,46,63
18,mcts,rule,B,41,63
19,mcts,rule,A,57,54
20,mcts,rule,A,66,42
21,mcts,rule,B,41,64
22,mcts,rule,A,65,46
23,mcts,rule,draw,1,1
24,mcts,rule,B,15,35
25,mcts,rule,B,47,65
26,mcts,rule,B,22,41
27,mcts,rule,B,45,62
28,mcts,rule,B,48,60
29,mcts,rule,B,53,55
