game,agent_a,agent_b,winner,score_a,score_b
0,greedy,mcts,B,31,75
1,greedy,mcts,A,54,41
2,greedy,mcts,B,30,73
3,greedy,mcts,B,44,60
4,greedy,mcts,B,45,61
5,greedy,mcts,B,46,50
6,greedy,mcts,B,54,56
7,greedy,mcts,B,50,51
8,greedy,mcts,draw,0,0
9,greedy,mcts,B,36,66
10,greedy,mcts,draw,48,48
11,greedy,mcts,B,36,65
12,greedy,mcts,A,2,0
13,greedy,mcts,B,40,57
14,greedy,mcts,B,38,63
15,greedy,mcts,A,54,48
16,greedy,mcts,B,36,64
17,greedy,mcts,B,1,3
18,greedy,mcts,A,51,28
19,greedy,mcts,A,2,0
20,greedy,mcts,A,49,46
21,greedy,mcts,B,30,73
22,greedy,mcts,A,6,0
23,greedy,mcts,B,37,65
24,greedy,mcts,B,40,66
25,greedy,mcts,B,43,52
26,greedy,mcts,A,52,43
27,greedy,mcts,B,37,64
28,greedy,mcts,A,68,35
29,greedy,mcts,A,3,0
