game,agent_a,agent_b,winner,score_a,score_b
0,rule,expectimax,B,53,56
1,rule,expectimax,A,58,50
2,rule,expectimax,A,65,46
3,rule,expectimax,A,59,46
4,rule,expectimax,B,46,67
5,rule,expectimax,A,66,45
6,rule,expectimax,A,53,52
7,rule,expectimax,A,63,49
8,rule,expectimax,draw,0,0
9,rule,expectimax,B,47,63
10,rule,expectimax,A,61,50
11,rule,expectimax,B,54,59
12,rule,expectimax,B,52,61
13,rule,expectimax,A,71,34
14,rule,expectimax,A,59,47
15,rule,expectimax,A,68,41
16,rule,expectimax,A,54,53
17,rule,expectimax,B,43,60
18,rule,expectimax,B,46,66
19,rule,expectimax,A,64,44
20,rule,expectimax,A,57,50
21,rule,expectimax,draw,53,53
22,rule,expectimax,A,70,43
23,rule,expectimax,B,48,61
24,rule,expectimax,B,52,53
25,rule,expectimax,A,80,30
26,rule,expectimax,A,58,54
27,rule,expectimax,A,57,54
28,rule,expectimax,A,68,46
29,rule,expectimax,A,1,0
