game,agent_a,agent_b,winner,score_a,score_b
0,random,mcts,B,1,7
1,random,mcts,draw,0,0
2,random,mcts,B,0,1
3,random,mcts,draw,0,0
4,random,mcts,B,13,79
5,random,mcts,B,1,91
6,random,mcts,B,6,99
7,random,mcts,B,11,60
8,random,mcts,draw,0,0
9,random,mcts,A,7,1
10,random,mcts,B,0,4
11,random,mcts,B,9,25
12,random,mcts,B,5,80
13,random,mcts,B,0,8
14,random,mcts,B,10,77
15,random,mcts,B,11,87
16,random,mcts,B,9,85
17,random,mcts,A,5,0
18,random,mcts,B,6,82
19,random,mcts,draw,0,0
20,random,mcts,B,4,56
21,random,mcts,B,7,74
22,random,mcts,B,5,81
23,random,mcts,B,14,77
24,random,mcts,B,4,96
25,random,mcts,draw,0,0
26,random,mcts,B,4,77
27,random,mcts,B,5,84
28,random,mcts,draw,0,0
29,random,mcts,B,4,90
