game,agent_a,agent_b,winner,score_a,score_b
0,expectimax,greedy,A,57,44
1,expectimax,greedy,A,60,42
2,expectimax,greedy,A,72,32
3,expectimax,greedy,A,81,18
4,expectimax,greedy,A,63,39
5,expectimax,greedy,A,71,24
6,expectimax,greedy,A,47,46
7,expectimax,greedy,A,70,31
8,expectimax,greedy,draw,0,0
9,expectimax,greedy,A,50,44
10,expectimax,greedy,A,77,18
11,expectimax,greedy,A,62,39
12,expectimax,greedy,A,76,27
13,expectimax,greedy,A,74,30
14,expectimax,greedy,A,55,41
15,expectimax,greedy,A,79,26
16,expectimax,greedy,A,59,37
17,expectimax,greedy,B,39,56
18,expectimax,greedy,A,63,38
19,expectimax,greedy,B,0,1
20,expectimax,greedy,A,73,29
21,expectimax,greedy,A,48,45
22,expectimax,greedy,A,76,24
23,expectimax,greedy,A,63,42
24,expectimax,greedy,A,66,35
25,expectimax,greedy,A,57,41
26,expectimax,greedy,A,63,44
27,expectimax,greedy,A,78,25
28,expectimax,greedy,A,64,31
29,expectimax,greedy,A,52,45
