game,agent_a,agent_b,winner,score_a,score_b
0,random,rule,B,5,7
1,random,rule,B,8,99
2,random,rule,B,9,94
3,random,rule,draw,0,0
4,random,rule,B,2,109
5,random,rule,B,10,90
6,random,rule,B,8,98
7,random,rule,B,4,104
8,random,rule,draw,0,0
9,random,rule,B,10,99
10,random,rule,B,1,106
11,random,rule,B,10,102
12,random,rule,B,0,2
13,random,rule,B,15,86
14,random,rule,B,4,104
15,random,rule,B,4,101
16,random,rule,B,5,105
17,random,rule,B,0,4
18,random,rule,B,7,99
19,random,rule,B,5,102
20,random,rule,B,8,89
21,random,rule,B,5,100
22,random,rule,B,10,96
23,random,rule,draw,1,1
24,random,rule,B,12,90
25,random,rule,B,1,10
26,random,rule,B,8,94
27,random,rule,B,9,100
28,random,rule,draw,0,0
29,random,rule,B,0,1
