game,agent_a,agent_b,winner,score_a,score_b
0,greedy,expectimax,B,23,82
1,greedy,expectimax,B,36,63
2,greedy,expectimax,B,32,75
3,greedy,expectimax,B,46,54
4,greedy,expectimax,B,32,69
5,greedy,expectimax,B,31,60
6,greedy,expectimax,B,27,58
7,greedy,expectimax,B,39,64
8,greedy,expectimax,draw,0,0
9,greedy,expectimax,B,25,72
10,greedy,expectimax,B,28,67
11,greedy,expectimax,B,29,70
12,greedy,expectimax,A,2,0
13,greedy,expectimax,B,33,70
14,greedy,expectimax,B,42,52
15,greedy,expectimax,B,50,55
16,greedy,expectimax,B,33,69
17,greedy,expectimax,B,24,70
18,greedy,expectimax,B,31,71
19,greedy,expectimax,B,36,56
20,greedy,expectimax,B,42,48
21,greedy,expectimax,B,38,66
22,greedy,expectimax,B,43,56
23,greedy,expectimax,B,40,59
24,greedy,expectimax,B,38,61
25,greedy,expectimax,B,44,51
26,greedy,expectimax,B,43,61
27,greedy,expectimax,B,51,53
28,greedy,expectimax,B,37,59
29,greedy,expectimax,B,45,53
