game,agent_a,agent_b,winner,score_a,score_b
0,expectimax,minimax,B,41,63
1,expectimax,minimax,B,48,59
2,expectimax,minimax,A,60,49
3,expectimax,minimax,A,65,41
4,expectimax,minimax,B,31,62
5,expectimax,minimax,A,60,39
6,expectimax,minimax,B,44,57
7,expectimax,minimax,A,63,39
8,expectimax,minimax,draw,0,0
9,expectimax,minimax,B,33,70
10,expectimax,minimax,A,49,45
11,expectimax,minimax,B,41,55
12,expectimax,minimax,A,53,49
13,expectimax,minimax,A,52,50
14,expectimax,minimax,A,56,46
15,expectimax,minimax,A,64,45
16,expectimax,minimax,B,46,56
17,expectimax,minimax,B,3,6
18,expectimax,minimax,B,47,54
19,expectimax,minimax,B,0,1
20,expectimax,minimax,B,49,53
21,expectimax,minimax,B,49,57
22,expectimax,minimax,A,69,35
23,expectimax,minimax,B,40,65
24,expectimax,minimax,B,45,50
25,expectimax,minimax,A,52,47
26,expectimax,minimax,A,55,50
27,expectimax,minimax,B,42,63
28,expectimax,minimax,A,65,33
29,expectimax,minimax,A,60,41
