game,agent_a,agent_b,winner,score_a,score_b
0,greedy,minimax,B,16,87
1,greedy,minimax,B,41,64
2,greedy,minimax,B,37,71
3,greedy,minimax,B,35,67
4,greedy,minimax,B,25,79
5,greedy,minimax,A,49,46
6,greedy,minimax,B,28,69
7,greedy,minimax,B,23,77
8,greedy,minimax,draw,0,0
9,greedy,minimax,B,29,73
10,greedy,minimax,B,48,50
11,greedy,minimax,B,40,59
12,greedy,minimax,A,58,45
13,greedy,minimax,B,38,67
14,greedy,minimax,B,39,53
15,greedy,minimax,B,32,72
16,greedy,minimax,B,35,66
17,greedy,minimax,B,29,68
18,greedy,minimax,B,33,69
19,greedy,minimax,B,36,64
20,greedy,minimax,B,37,66
21,greedy,minimax,B,24,76
22,greedy,minimax,B,36,66
23,greedy,minimax,B,26,80
24,greedy,minimax,B,28,70
25,greedy,minimax,B,39,57
26,greedy,minimax,B,34,67
27,greedy,minimax,A,61,40
28,greedy,minimax,B,49,55
29,greedy,minimax,B,36,64
