game,agent_a,agent_b,winner,score_a,score_b
0,random,expectimax,B,7,74
1,random,expectimax,B,2,100
2,random,expectimax,B,6,91
3,random,expectimax,draw,0,0
4,random,expectimax,B,7,99
5,random,expectimax,B,2,88
6,random,expectimax,B,2,10
7,random,expectimax,B,7,96
8,random,expectimax,draw,0,0
9,random,expectimax,B,12,89
10,random,expectimax,B,5,93
11,random,expectimax,B,5,81
12,random,expectimax,B,8,94
13,random,expectimax,B,8,90
14,random,expectimax,B,8,90
15,random,expectimax,B,1,99
16,random,expectimax,B,1,106
17,random,expectimax,B,0,1
18,random,expectimax,B,7,95
19,random,expectimax,B,15,86
20,random,expectimax,B,9,71
21,random,expectimax,B,5,94
22,random,expectimax,B,5,101
23,random,expectimax,A,6,3
24,random,expectimax,draw,0,0
25,random,expectimax,draw,0,0
26,random,expectimax,B,4,69
27,random,expectimax,B,5,43
28,random,expectimax,draw,0,0
29,random,expectimax,B,6,88
