game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,greedy,rule,B,35,42,0.273720900,0.216667000,19,19,19,19
1,greedy,rule,A,40,9,0.188001100,0.080585900,13,12,14,13
2,greedy,rule,B,24,40,0.138786700,0.063126200,14,14,14,14
