game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,random,expectimax_d3,B,3,42,0.000050800,10.282471700,14,14,15,15
1,random,expectimax_d3,B,3,42,0.000052800,7.047145000,14,14,15,15
2,random,expectimax_d3,B,6,42,0.000056500,12.973338200,21,21,21,21
