game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,mcts,expectimax_d3,B,37,41,3.266574900,19.741377600,25,25,25,25
1,mcts,expectimax_d3,A,37,35,3.639718300,27.370373500,25,23,25,25
2,mcts,expectimax_d3,A,38,27,3.270975900,22.254016300,24,24,25,25
