game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,expectimax_d2,mcts,A,12,0,1.024624800,0.306291800,3,2,3,2
1,expectimax_d2,mcts,B,4,11,0.168776600,0.125218300,2,2,2,2
2,expectimax_d2,mcts,A,10,4,1.199432800,1.002783700,6,5,6,5
