game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,rule,expectimax,A,27,11,0.195890400,15.348676700,25,25
1,rule,expectimax,A,26,13,0.160468400,14.575156900,25,25
2,rule,expectimax,A,33,3,0.201807700,13.929479300,25,25
