game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b,mode,pair
0,expectimax_d2,expectimax_d3,A,14,12,2.0092731,15.706867,15,15,15,15,reduced_depth_default_goal20_r2,expectimax_d2_expectimax_d3
0,expectimax_d2,expectimax_d4,B,4,21,2.280266,136.7455013,15,15,15,15,reduced_depth_default_goal20_r2,expectimax_d2_expectimax_d4
0,expectimax_d2,rule,B,6,20,1.9881475,0.0573045,12,12,12,12,reduced_depth_default_goal20_r2,expectimax_d2_rule
0,expectimax_d3,expectimax_d2,A,19,10,17.6142071,1.9209475,15,15,15,15,reduced_depth_default_goal20_r2,expectimax_d3_expectimax_d2
0,expectimax_d3,expectimax_d4,A,14,13,16.3091343,135.74862,15,15,15,15,reduced_depth_default_goal20_r2,expectimax_d3_expectimax_d4
0,expectimax_d3,rule,B,8,20,13.3014333,0.0455616,13,13,13,13,reduced_depth_default_goal20_r2,expectimax_d3_rule
0,expectimax_d4,expectimax_d2,A,19,10,139.9827062,2.0632285,15,15,15,15,reduced_depth_default_goal20_r2,expectimax_d4_expectimax_d2
0,expectimax_d4,expectimax_d3,A,16,10,142.1863115,15.3241381,15,15,15,15,reduced_depth_default_goal20_r2,expectimax_d4_expectimax_d3
0,expectimax_d4,rule,B,9,22,148.6230219,0.093337,15,15,15,15,reduced_depth_default_goal20_r2,expectimax_d4_rule
0,rule,expectimax_d2,B,12,20,0.1019576,2.3515763,15,15,15,15,reduced_depth_default_goal20_r2,rule_expectimax_d2
0,rule,expectimax_d3,B,12,20,0.1010792,13.9286169,15,15,15,15,reduced_depth_default_goal20_r2,rule_expectimax_d3
0,rule,expectimax_d4,B,13,17,0.111842,144.4267365,15,15,15,15,reduced_depth_default_goal20_r2,rule_expectimax_d4
0,expectimax_d2,expectimax_d3,B,15,23,1.3783801,10.843925,12,12,13,13,reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_expectimax_d3
0,expectimax_d2,expectimax_d4,B,15,23,1.3761901,85.4740092,12,12,13,13,reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_expectimax_d4
0,expectimax_d2,rule,B,15,21,1.7663268,0.0714553,11,11,11,11,reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_rule
0,expectimax_d3,expectimax_d2,A,21,15,9.8988186,1.6825391,13,12,14,13,reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_expectimax_d2
0,expectimax_d3,expectimax_d4,A,21,12,10.0008078,98.469757,12,11,13,12,reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_expectimax_d4
