game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,expectimax_d2,rule,B,11,41,2.455719900,0.099674800,25,25,25,25
1,expectimax_d2,rule,B,21,31,2.734570300,0.105349000,25,25,25,25
2,expectimax_d2,rule,B,16,34,2.502512300,0.112768400,25,25,25,25
