game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,random,rule,B,3,34,0.000069600,0.166278900,25,25,25,25
1,random,rule,B,1,33,0.000074300,0.167345000,25,25,25,25
2,random,rule,B,3,34,0.000091900,0.218220900,25,25,25,25
