game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,random,expectimax_d3,B,8,35,0.000091300,26.421832400,25,25,25,25
1,random,expectimax_d3,B,2,29,0.000087100,25.388894600,25,25,25,25
2,random,expectimax_d3,B,4,26,0.000074500,19.876655000,24,24,25,25
