game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,expectimax_d3,rule,B,0,10,4.503439500,0.011854800,5,5,5,5
1,expectimax_d3,rule,A,12,9,6.880932900,0.019259800,9,8,9,8
2,expectimax_d3,rule,A,12,4,6.795498400,0.020177100,8,7,8,7
