game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,random,expectimax_d3,B,0,40,0.000022400,8.738247600,7,7,7,7
1,random,expectimax_d3,B,0,40,0.000026700,12.847872600,8,8,8,8
2,random,expectimax_d3,B,3,44,0.000032500,14.123295300,10,10,10,10
