game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,expectimax_d2,random,A,12,3,1.138377700,0.000034400,11,10,12,11
1,expectimax_d2,random,A,12,0,0.609471600,0.000015600,6,5,7,6
2,expectimax_d2,random,A,12,0,0.855268300,0.000023000,8,7,9,8
