game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,expectimax_d2,greedy,A,12,0,0.486071400,0.054551700,3,2,3,2
1,expectimax_d2,greedy,B,4,12,0.166047700,0.010429000,3,3,3,3
2,expectimax_d2,greedy,A,10,4,0.844195700,0.057393300,6,5,6,5
