game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,expectimax,mcts,B,0,2,1.848001400,0.238748500,4,4
1,expectimax,mcts,A,80,36,12.609216200,3.735011400,25,25
2,expectimax,mcts,A,67,37,11.094479900,4.060533100,25,25
