game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,expectimax,rule,B,0,4,2.291547300,0.016855300,4,4
1,expectimax,rule,A,75,41,12.842040100,0.161625800,25,25
2,expectimax,rule,B,44,61,12.177501400,0.215558900,25,25
