agent_a,agent_b,game,agent,opponent,seat,score,captures,net_captures,capture_points,control_points,passes,pass_rate,chosen_move1,chosen_move2,chosen_mobilize,chosen_capture,chosen_swap,exposed_move1,exposed_move2,exposed_mobilize,exposed_capture,exposed_swap,game_final_pass_streak,game_deadlocked
expectimax,expectimax,10,expectimax,expectimax,first,51,10,0,30,21,0,0.000000,17,10,8,10,5,33,22,39,11,7,0,False
expectimax,expectimax,10,expectimax,expectimax,second,50,8,2,24,26,0,0.000000,14,11,7,8,10,27,21,40,9,12,0,False
expectimax,expectimax,11,expectimax,expectimax,first,49,10,3,30,19,0,0.000000,15,11,7,10,7,30,22,38,12,12,0,False
expectimax,expectimax,11,expectimax,expectimax,second,47,8,1,24,23,0,0.000000,17,11,6,8,8,33,24,40,11,11,0,False
expectimax,expectimax,12,expectimax,expectimax,first,2,0,0,0,2,46,0.920000,2,1,1,0,0,2,1,1,50,0,93,True
expectimax,expectimax,12,expectimax,expectimax,second,0,0,0,0,0,47,0.940000,3,0,0,0,0,3,0,0,50,0,93,True
expectimax,expectimax,13,expectimax,expectimax,first,53,10,0,30,23,0,0.000000,18,8,6,10,8,34,17,37,14,12,0,False
expectimax,expectimax,13,expectimax,expectimax,second,51,9,1,27,24,0,0.000000,11,14,8,9,8,30,24,38,14,13,0,False
expectimax,expectimax,14,expectimax,expectimax,first,43,8,3,24,19,0,0.000000,12,14,8,8,8,25,25,40,9,11,0,False
expectimax,expectimax,14,expectimax,expectimax,second,51,11,1,33,18,0,0.000000,15,7,9,11,8,27,23,39,12,11,0,False
expectimax,expectimax,15,expectimax,expectimax,first,52,10,4,30,22,0,0.000000,15,10,6,10,9,28,22,42,12,11,0,False
expectimax,expectimax,15,expectimax,expectimax,second,44,9,1,27,17,0,0.000000,13,13,9,9,6,28,24,41,10,9,0,False
expectimax,expectimax,16,expectimax,expectimax,first,39,9,1,27,12,0,0.000000,16,11,10,9,4,31,22,41,9,6,0,False
expectimax,expectimax,16,expectimax,expectimax,second,66,9,1,27,39,0,0.000000,12,11,7,9,11,31,21,37,10,14,0,False
expectimax,expectimax,17,expectimax,expectimax,first,3,1,0,3,0,44,0.880000,3,0,2,1,0,4,2,4,48,1,89,True
expectimax,expectimax,17,expectimax,expectimax,second,6,1,0,3,3,45,0.900000,1,1,1,1,1,3,3,2,49,1,89,True
expectimax,expectimax,18,expectimax,expectimax,first,50,7,2,21,29,0,0.000000,12,16,6,7,9,19,21,47,9,14,0,False
expectimax,expectimax,18,expectimax,expectimax,second,56,12,0,36,20,0,0.000000,18,6,7,12,7,24,15,48,14,11,0,False
expectimax,expectimax,19,expectimax,expectimax,first,0,0,0,0,0,47,0.940000,2,0,1,0,0,2,0,1,50,0,94,True
expectimax,expectimax,19,expectimax,expectimax,second,1,0,0,0,1,47,0.940000,1,1,1,0,0,1,1,1,50,0,94,True
expectimax,expectimax,20,expectimax,expectimax,first,48,9,0,27,21,0,0.000000,15,14,4,9,8,25,22,49,11,12,0,False
expectimax,expectimax,20,expectimax,expectimax,second,50,10,1,30,20,0,0.000000,16,7,10,10,7,26,21,49,14,10,0,False
expectimax,expectimax,21,expectimax,expectimax,first,54,7,0,21,33,0,0.000000,11,14,9,7,9,27,30,31,11,16,0,False
expectimax,expectimax,21,expectimax,expectimax,second,51,13,3,39,12,0,0.000000,17,9,4,13,7,32,26,33,18,11,0,False
expectimax,expectimax,22,expectimax,expectimax,first,57,13,2,39,18,0,0.000000,12,14,3,13,8,24,22,40,15,12,0,False
expectimax,expectimax,22,expectimax,expectimax,second,41,6,0,18,23,0,0.000000,16,10,11,6,7,25,25,42,9,10,0,False
expectimax,expectimax,23,expectimax,expectimax,first,45,11,1,33,12,0,0.000000,17,11,7,11,4,32,28,40,12,6,0,False
expectimax,expectimax,23,expectimax,expectimax,second,54,7,0,21,33,0,0.000000,13,12,7,7,11,28,25,39,12,13,0,False
expectimax,expectimax,24,expectimax,expectimax,first,32,8,0,24,8,0,0.000000,13,11,12,8,6,27,24,46,9,10,0,False
expectimax,expectimax,24,expectimax,expectimax,second,71,11,0,33,38,0,0.000000,15,10,4,11,10,29,22,46,11,12,0,False
expectimax,expectimax,25,expectimax,expectimax,first,48,9,2,27,21,0,0.000000,15,10,9,9,7,32,20,30,15,10,0,False
expectimax,expectimax,25,expectimax,expectimax,second,47,8,0,24,23,1,0.020000,14,12,6,8,9,30,25,31,14,9,0,False
expectimax,expectimax,26,expectimax,expectimax,first,46,10,2,30,16,0,0.000000,16,11,6,10,7,34,23,39,13,10,0,False
expectimax,expectimax,26,expectimax,expectimax,second,53,10,0,30,23,0,0.000000,10,11,10,10,9,29,24,40,13,12,0,False
expectimax,expectimax,27,expectimax,expectimax,first,67,11,0,33,34,0,0.000000,12,10,8,11,9,27,17,40,16,11,0,False
expectimax,expectimax,27,expectimax,expectimax,second,36,7,1,21,15,0,0.000000,18,12,7,7,6,31,19,39,12,8,0,False
expectimax,expectimax,28,expectimax,expectimax,first,57,12,2,36,21,4,0.080000,11,8,10,12,5,19,24,33,21,8,9,False
expectimax,expectimax,28,expectimax,expectimax,second,26,4,0,12,14,5,0.100000,16,14,3,4,8,22,25,32,15,10,9,False
expectimax,expectimax,29,expectimax,expectimax,first,51,11,4,33,18,0,0.000000,12,9,10,11,8,31,18,38,13,9,0,False
expectimax,expectimax,29,expectimax,expectimax,second,44,6,1,18,26,0,0.000000,16,14,6,6,8,32,23,36,12,11,0,False
expectimax,greedy,0,expectimax,greedy,first,57,9,2,27,30,0,0.000000,17,13,5,9,6,32,24,45,9,6,0,False
expectimax,greedy,0,greedy,expectimax,second,44,10,0,30,14,0,0.000000,12,8,12,10,8,33,16,46,13,8,0,False
expectimax,greedy,1,expectimax,greedy,first,60,11,1,33,27,0,0.000000,18,9,7,11,5,31,17,37,14,7,0,False
expectimax,greedy,1,greedy,expectimax,second,42,8,0,24,18,0,0.000000,10,15,8,8,9,30,21,37,10,10,0,False
expectimax,greedy,2,expectimax,greedy,first,72,10,2,30,42,0,0.000000,22,3,4,10,11,38,23,34,12,11,0,False
expectimax,greedy,2,greedy,expectimax,second,32,10,0,30,2,0,0.000000,6,15,14,10,5,32,26,36,12,5,0,False
expectimax,greedy,3,expectimax,greedy,first,81,14,1,42,39,0,0.000000,17,7,4,14,8,34,17,37,16,11,0,False
expectimax,greedy,3,greedy,expectimax,second,18,5,0,15,3,0,0.000000,13,14,11,5,7,34,22,40,7,8,0,False
expectimax,greedy,4,expectimax,greedy,first,63,8,0,24,39,0,0.000000,20,10,4,8,8,29,17,47,8,11,0,False
expectimax,greedy,4,greedy,expectimax,second,39,11,0,33,6,0,0.000000,7,13,12,11,7,26,17,48,11,10,0,False
expectimax,greedy,5,expectimax,greedy,first,71,9,0,27,44,0,0.000000,16,9,7,9,9,34,18,35,11,13,0,False
expectimax,greedy,5,greedy,expectimax,second,24,8,2,24,0,0,0.000000,12,12,11,8,7,36,16,37,12,11,0,False
expectimax,greedy,6,expectimax,greedy,first,47,7,0,21,26,0,0.000000,21,10,6,7,6,35,21,39,9,7,0,False
expectimax,greedy,6,greedy,expectimax,second,46,10,1,30,16,0,0.000000,10,14,6,10,10,36,23,36,11,10,0,False
expectimax,greedy,7,expectimax,greedy,first,70,11,1,33,37,0,0.000000,18,6,8,11,7,31,23,41,12,9,0,False
expectimax,greedy,7,greedy,expectimax,second,31,8,0,24,7,0,0.000000,9,14,10,8,9,30,28,39,9,11,0,False
expectimax,greedy,8,expectimax,greedy,first,0,0,0,0,0,50,1.000000,0,0,0,0,0,0,0,0,50,0,100,True
expectimax,greedy,8,greedy,expectimax,second,0,0,0,0,0,50,1.000000,0,0,0,0,0,0,0,0,50,0,100,True
expectimax,greedy,9,expectimax,greedy,first,50,8,2,24,26,0,0.000000,18,9,10,8,5,35,17,42,9,9,0,False
expectimax,greedy,9,greedy,expectimax,second,44,10,1,30,14,0,0.000000,10,12,8,10,10,30,19,45,13,14,0,False
expectimax,greedy,10,expectimax,greedy,first,77,12,1,36,41,0,0.000000,16,11,6,12,5,27,18,33,12,11,0,False
expectimax,greedy,10,greedy,expectimax,second,18,6,0,18,0,0,0.000000,15,11,8,6,10,31,18,34,7,13,0,False
expectimax,greedy,11,expectimax,greedy,first,62,8,1,24,38,0,0.000000,17,11,7,8,7,28,24,36,9,8,0,False
expectimax,greedy,11,greedy,expectimax,second,39,11,1,33,6,0,0.000000,12,12,7,11,8,29,24,37,11,10,0,False
expectimax,greedy,12,expectimax,greedy,first,76,13,3,39,37,0,0.000000,11,13,9,13,4,24,27,43,15,7,0,False
expectimax,greedy,12,greedy,expectimax,second,27,7,0,21,6,0,0.000000,17,9,6,7,11,30,24,41,11,12,0,False
expectimax,greedy,13,expectimax,greedy,first,74,11,1,33,41,0,0.000000,17,6,6,11,10,39,15,31,14,10,0,False
expectimax,greedy,13,greedy,expectimax,second,30,8,0,24,6,0,0.000000,11,16,9,8,6,36,27,35,9,8,0,False
expectimax,greedy,14,expectimax,greedy,first,55,10,1,30,25,0,0.000000,15,11,6,10,8,32,16,44,10,11,0,False
expectimax,greedy,14,greedy,expectimax,second,41,9,1,27,14,0,0.000000,11,13,9,9,8,32,19,43,9,10,0,False
expectimax,greedy,15,expectimax,greedy,first,79,12,2,36,43,0,0.000000,13,11,6,12,8,35,19,45,13,8,0,False
expectimax,greedy,15,greedy,expectimax,second,26,8,0,24,2,0,0.000000,14,12,9,8,7,37,20,45,10,8,0,False
expectimax,greedy,16,expectimax,greedy,first,59,9,0,27,32,0,0.000000,18,11,8,9,4,29,23,41,9,8,0,False
expectimax,greedy,16,greedy,expectimax,second,37,8,1,24,13,0,0.000000,11,11,9,8,11,25,23,40,9,12,0,False
expectimax,greedy,17,expectimax,greedy,first,39,7,1,21,18,0,0.000000,23,7,6,7,7,40,15,36,9,11,0,False
expectimax,greedy,17,greedy,expectimax,second,56,11,2,33,23,0,0.000000,7,14,9,11,9,38,21,37,13,10,0,False
expectimax,greedy,18,expectimax,greedy,first,63,7,2,21,42,0,0.000000,16,13,5,7,9,28,26,38,9,12,0,False
expectimax,greedy,18,greedy,expectimax,second,38,12,0,36,2,0,0.000000,12,8,12,12,6,28,28,41,14,7,0,False
expectimax,greedy,19,expectimax,greedy,first,0,0,0,0,0,47,0.940000,2,0,1,0,0,2,0,1,50,0,94,True
expectimax,greedy,19,greedy,expectimax,second,1,0,0,0,1,47,0.940000,1,1,1,0,0,1,1,1,50,0,94,True
expectimax,greedy,20,expectimax,greedy,first,73,11,0,33,40,0,0.000000,21,9,2,11,7,29,25,38,12,8,0,False
expectimax,greedy,20,greedy,expectimax,second,29,8,0,24,5,0,0.000000,8,11,14,8,9,29,25,40,9,10,0,False
