agent,personal_turn,mean_score,std_score,observations
greedy,11,9.061111,5.512876,360
greedy,12,10.011111,5.931821,360
greedy,13,10.877778,6.244022,360
greedy,14,11.783333,6.673671,360
greedy,15,12.741667,7.144933,360
greedy,16,13.586111,7.626250,360
greedy,17,14.427778,7.981895,360
greedy,18,15.236111,8.321019,360
greedy,19,16.036111,8.787261,360
greedy,20,16.941667,9.128268,360
greedy,21,17.761111,9.568614,360
greedy,22,18.541667,10.004090,360
greedy,23,19.319444,10.324574,360
greedy,24,20.397222,10.746017,360
greedy,25,21.125000,11.167673,360
greedy,26,21.894444,11.544028,360
greedy,27,22.605556,11.874223,360
greedy,28,23.397222,12.354129,360
greedy,29,24.116667,12.767593,360
greedy,30,25.050000,13.156980,360
greedy,31,25.919444,13.437430,360
greedy,32,26.752778,13.892243,360
greedy,33,27.472222,14.325671,360
greedy,34,28.447222,14.736213,360
greedy,35,29.247222,15.143970,360
greedy,36,30.033333,15.490819,360
greedy,37,30.830556,15.720989,360
greedy,38,31.572222,16.017758,360
greedy,39,32.491667,16.350954,360
greedy,40,33.266667,16.745049,360
greedy,41,34.111111,17.234056,360
greedy,42,34.944444,17.603881,360
greedy,43,35.783333,18.022046,360
greedy,44,36.669444,18.453862,360
greedy,45,37.533333,18.972462,360
greedy,46,38.419444,19.397733,360
greedy,47,39.166667,19.819801,360
greedy,48,39.741667,20.138308,360
greedy,49,40.655556,20.554655,360
greedy,50,41.288889,20.874740,360
mcts,1,0.100000,0.300418,360
mcts,2,0.994444,1.212733,360
mcts,3,1.769444,1.783446,360
mcts,4,2.744444,2.377054,360
mcts,5,3.669444,2.885785,360
mcts,6,4.411111,3.279529,360
mcts,7,5.344444,3.804882,360
mcts,8,6.291667,4.395609,360
mcts,9,7.163889,4.903336,360
mcts,10,7.980556,5.385647,360
mcts,11,8.800000,5.781442,360
mcts,12,9.694444,6.261789,360
mcts,13,10.536111,6.765785,360
mcts,14,11.322222,7.277742,360
mcts,15,12.047222,7.702728,360
mcts,16,12.863889,8.185239,360
mcts,17,13.708333,8.677184,360
mcts,18,14.555556,9.206224,360
mcts,19,15.388889,9.689261,360
mcts,20,16.272222,10.258134,360
mcts,21,17.061111,10.724280,360
mcts,22,17.872222,11.208846,360
mcts,23,18.694444,11.747623,360
mcts,24,19.638889,12.290252,360
mcts,25,20.430556,12.895365,360
mcts,26,21.169444,13.409000,360
mcts,27,22.091667,14.014514,360
mcts,28,22.838889,14.497013,360
mcts,29,23.491667,14.927492,360
mcts,30,24.338889,15.502417,360
mcts,31,25.066667,16.004213,360
mcts,32,25.902778,16.575782,360
mcts,33,26.713889,17.063010,360
mcts,34,27.541667,17.672617,360
mcts,35,28.294444,18.149855,360
mcts,36,29.002778,18.614323,360
mcts,37,29.741667,19.088635,360
mcts,38,30.386111,19.491397,360
mcts,39,31.094444,20.011472,360
