game,agent_a,agent_b,winner,score_a,score_b
0,greedy,rule,B,45,92
1,greedy,rule,B,36,85
2,greedy,rule,B,43,95
3,greedy,rule,draw,0,0
4,greedy,rule,B,43,78
5,greedy,rule,B,44,87
6,greedy,rule,B,44,86
7,greedy,rule,B,41,77
8,greedy,rule,draw,0,0
9,greedy,rule,B,32,89
10,greedy,rule,B,49,91
11,greedy,rule,B,38,89
12,greedy,rule,B,0,1
13,greedy,rule,B,52,87
14,greedy,rule,B,36,89
15,greedy,rule,B,55,81
16,greedy,rule,B,63,70
17,greedy,rule,B,46,85
18,greedy,rule,B,52,69
19,greedy,rule,B,30,105
20,greedy,rule,B,51,87
21,greedy,rule,B,52,82
22,greedy,rule,B,55,77
23,greedy,rule,B,43,76
24,greedy,rule,B,54,78
25,greedy,rule,B,37,87
26,greedy,rule,B,37,98
27,greedy,rule,B,69,73
28,greedy,rule,B,38,89
29,greedy,rule,B,46,91
