game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b
0,random,expectimax_d3,B,3,35,0.000057700,10.749245700,21,21,25,25
1,random,expectimax_d3,B,9,42,0.000057600,11.919740700,23,23,25,25
2,random,expectimax_d3,B,4,62,0.000067500,13.951250700,23,23,25,25
