game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b
0,rule,expectimax,draw,25,25,0.051315800,6.357271000,25,25
1,rule,expectimax,A,30,17,0.039379600,7.259315000,25,25
2,rule,expectimax,A,29,21,0.038757000,6.776691100,25,25
