mode,board,end_condition,agent,games,win_points_rate,mean_margin,mean_score,total_decision_time,total_decisions,mean_turns,milliseconds_per_decision
corrected_reduced_board_bottleneck_7x7_fixed_r2,Bottleneck 7x7,Fixed 25,expectimax_d2,30,0.7666666666666667,20.3,57.833333333333336,73.0707391,718,25.0,101.76983161559887
corrected_reduced_board_bottleneck_7x7_fixed_r2,Bottleneck 7x7,Fixed 25,expectimax_d3,30,0.6666666666666666,15.333333333333334,55.733333333333334,604.6060042,726,25.0,832.7906393939395
corrected_reduced_board_bottleneck_7x7_fixed_r2,Bottleneck 7x7,Fixed 25,greedy,30,0.55,16.666666666666668,57.53333333333333,6.4858856,724,25.0,8.958405524861877
corrected_reduced_board_bottleneck_7x7_fixed_r2,Bottleneck 7x7,Fixed 25,mcts,30,0.65,15.3,54.96666666666667,107.7862832,715,25.0,150.75004643356644
corrected_reduced_board_bottleneck_7x7_fixed_r2,Bottleneck 7x7,Fixed 25,random,30,0.0,-66.26666666666667,9.1,0.0021511,703,25.0,0.003059886201991465
corrected_reduced_board_bottleneck_7x7_fixed_r2,Bottleneck 7x7,Fixed 25,rule,30,0.36666666666666664,-1.3333333333333333,53.36666666666667,4.3551829,733,25.0,5.941586493860846
corrected_reduced_board_bottleneck_7x7_goal10_r2,Bottleneck 7x7,Goal 10,expectimax_d2,30,0.6333333333333333,3.2,10.5,19.3449425,219,8.033333333333333,88.3330707762557
corrected_reduced_board_bottleneck_7x7_goal10_r2,Bottleneck 7x7,Goal 10,expectimax_d3,30,0.7666666666666667,3.7333333333333334,10.766666666666667,148.5542821,223,8.133333333333333,666.1627
corrected_reduced_board_bottleneck_7x7_goal10_r2,Bottleneck 7x7,Goal 10,greedy,30,0.5666666666666667,1.6666666666666667,9.8,1.5540568,218,7.933333333333334,7.128700917431192
corrected_reduced_board_bottleneck_7x7_goal10_r2,Bottleneck 7x7,Goal 10,mcts,30,0.6666666666666666,2.7333333333333334,10.3,31.3501181,222,8.333333333333334,141.2167481981982
corrected_reduced_board_bottleneck_7x7_goal10_r2,Bottleneck 7x7,Goal 10,random,30,0.0,-10.233333333333333,2.1,0.0006034,200,7.6,0.003017
corrected_reduced_board_bottleneck_7x7_goal10_r2,Bottleneck 7x7,Goal 10,rule,30,0.36666666666666664,-1.1,8.9,0.7675029,189,6.6,4.060861904761905
corrected_reduced_board_bottleneck_7x7_goal40_r2,Bottleneck 7x7,Goal 40,expectimax_d2,30,0.6666666666666666,8.5,35.53333333333333,50.2890435,519,18.1,96.89603757225433
corrected_reduced_board_bottleneck_7x7_goal40_r2,Bottleneck 7x7,Goal 40,expectimax_d3,30,0.6666666666666666,9.466666666666667,36.56666666666667,419.03207,527,18.266666666666666,795.127267552182
corrected_reduced_board_bottleneck_7x7_goal40_r2,Bottleneck 7x7,Goal 40,greedy,30,0.5666666666666667,7.133333333333334,34.53333333333333,4.1127392,508,17.7,8.095943307086614
corrected_reduced_board_bottleneck_7x7_goal40_r2,Bottleneck 7x7,Goal 40,mcts,30,0.7333333333333333,13.7,39.1,86.6165692,532,18.733333333333334,162.8131
corrected_reduced_board_bottleneck_7x7_goal40_r2,Bottleneck 7x7,Goal 40,random,30,0.0,-36.2,6.0,0.0013037,453,16.3,0.002877924944812362
corrected_reduced_board_bottleneck_7x7_goal40_r2,Bottleneck 7x7,Goal 40,rule,30,0.36666666666666664,-2.6,29.7,2.3747297,461,15.766666666666667,5.151257483731019
corrected_reduced_board_default_fixed_r2,Default,Fixed 25,expectimax_d2,30,0.43333333333333335,2.533333333333333,25.366666666666667,93.8185589,750,25.0,125.09141186666668
corrected_reduced_board_default_fixed_r2,Default,Fixed 25,expectimax_d3,30,0.6,5.366666666666666,27.0,750.7558827,750,25.0,1001.0078436000001
corrected_reduced_board_default_fixed_r2,Default,Fixed 25,greedy,30,0.36666666666666664,-1.9333333333333333,23.033333333333335,7.9712343,750,25.0,10.6283124
corrected_reduced_board_default_fixed_r2,Default,Fixed 25,mcts,30,0.7666666666666667,12.866666666666667,31.8,130.6249482,750,25.0,174.1665976
corrected_reduced_board_default_fixed_r2,Default,Fixed 25,random,30,0.0,-38.56666666666667,4.066666666666666,0.0040158,748,25.0,0.005368716577540107
corrected_reduced_board_default_fixed_r2,Default,Fixed 25,rule,30,0.8333333333333334,19.733333333333334,36.06666666666667,4.5126179,748,25.0,6.032911631016043
corrected_reduced_board_default_goal10_r2,Default,Goal 10,expectimax_d2,30,0.5333333333333333,0.8333333333333334,7.733333333333333,22.2610737,218,7.266666666666667,102.11501697247706
corrected_reduced_board_default_goal10_r2,Default,Goal 10,expectimax_d3,30,0.6666666666666666,3.1666666666666665,9.0,206.2435987,216,7.2,954.831475462963
corrected_reduced_board_default_goal10_r2,Default,Goal 10,greedy,30,0.6333333333333333,1.5333333333333334,8.0,1.5387462,210,7.0,7.327362857142857
corrected_reduced_board_default_goal10_r2,Default,Goal 10,mcts,30,0.5,0.5333333333333333,8.1,37.3604636,221,7.433333333333334,169.05187149321267
corrected_reduced_board_default_goal10_r2,Default,Goal 10,random,30,0.0,-10.0,0.8333333333333334,0.0005197,180,6.066666666666666,0.0028872222222222224
corrected_reduced_board_default_goal10_r2,Default,Goal 10,rule,30,0.6666666666666666,3.933333333333333,9.233333333333333,0.4811183,189,6.366666666666666,2.5455994708994707
corrected_reduced_board_default_goal40_r2,Default,Goal 40,expectimax_d2,30,0.4,0.9666666666666667,29.933333333333334,104.6415392,909,30.3,115.11720484048405
corrected_reduced_board_default_goal40_r2,Default,Goal 40,expectimax_d3,30,0.5666666666666667,4.833333333333333,32.5,925.5606332,920,30.666666666666668,1006.0441665217392
corrected_reduced_board_default_goal40_r2,Default,Goal 40,greedy,30,0.36666666666666664,-3.1666666666666665,28.5,9.0897188,927,30.9,9.805521898597627
corrected_reduced_board_default_goal40_r2,Default,Goal 40,mcts,30,0.7,12.9,38.06666666666667,174.6070558,950,31.766666666666666,183.79690084210526
corrected_reduced_board_default_goal40_r2,Default,Goal 40,random,30,0.0,-37.46666666666667,3.7,0.002348,709,23.766666666666666,0.003311706629055007
corrected_reduced_board_default_goal40_r2,Default,Goal 40,rule,30,0.9666666666666667,21.933333333333334,40.233333333333334,4.0803262,841,28.133333333333333,4.851755291319857
corrected_reduced_board_inner_ring_center_7x7_fixed_r2,Inner ring,Fixed 25,expectimax_d2,30,0.7166666666666667,27.766666666666666,78.26666666666667,107.8765182,740,25.0,145.77907864864866
corrected_reduced_board_inner_ring_center_7x7_fixed_r2,Inner ring,Fixed 25,expectimax_d3,30,0.6166666666666667,28.233333333333334,79.7,987.1006849,745,25.0,1324.967362281879
corrected_reduced_board_inner_ring_center_7x7_fixed_r2,Inner ring,Fixed 25,greedy,30,0.6333333333333333,29.933333333333334,80.0,10.0808388,744,25.0,13.549514516129031
corrected_reduced_board_inner_ring_center_7x7_fixed_r2,Inner ring,Fixed 25,mcts,30,0.4,-2.6666666666666665,60.53333333333333,125.8945119,732,25.0,171.98703811475409
corrected_reduced_board_inner_ring_center_7x7_fixed_r2,Inner ring,Fixed 25,random,30,0.0,-105.4,6.833333333333333,0.0024054,740,25.0,0.0032505405405405404
corrected_reduced_board_inner_ring_center_7x7_fixed_r2,Inner ring,Fixed 25,rule,30,0.6333333333333333,22.133333333333333,77.43333333333334,3.8110139,746,25.0,5.108597721179625
corrected_reduced_board_inner_ring_center_7x7_goal10_r2,Inner ring,Goal 10,expectimax_d2,30,0.6,2.1,8.333333333333334,11.980779,99,3.3333333333333335,121.0179696969697
corrected_reduced_board_inner_ring_center_7x7_goal10_r2,Inner ring,Goal 10,expectimax_d3,30,0.6,2.433333333333333,8.866666666666667,88.2455631,102,3.5,865.1525794117647
corrected_reduced_board_inner_ring_center_7x7_goal10_r2,Inner ring,Goal 10,greedy,30,0.6333333333333333,2.6,8.6,1.298776,99,3.3333333333333335,13.118949494949494
corrected_reduced_board_inner_ring_center_7x7_goal10_r2,Inner ring,Goal 10,mcts,30,0.6,2.066666666666667,8.3,13.547589199999999,105,3.533333333333333,129.02465904761902
corrected_reduced_board_inner_ring_center_7x7_goal10_r2,Inner ring,Goal 10,random,30,0.03333333333333333,-10.233333333333333,1.4333333333333333,0.0003351,99,3.3333333333333335,0.003384848484848485
corrected_reduced_board_inner_ring_center_7x7_goal10_r2,Inner ring,Goal 10,rule,30,0.5333333333333333,1.0333333333333334,7.766666666666667,0.3592266,88,2.966666666666667,4.082120454545454
corrected_reduced_board_inner_ring_center_7x7_goal40_r2,Inner ring,Goal 40,expectimax_d2,30,0.6666666666666666,12.2,35.43333333333333,53.2941534,348,11.833333333333334,153.14411896551724
corrected_reduced_board_inner_ring_center_7x7_goal40_r2,Inner ring,Goal 40,expectimax_d3,30,0.7,13.8,37.733333333333334,467.6046769,356,12.033333333333333,1313.4962834269663
corrected_reduced_board_inner_ring_center_7x7_goal40_r2,Inner ring,Goal 40,greedy,30,0.7666666666666667,16.766666666666666,37.9,4.8492457,345,11.566666666666666,14.05578463768116
corrected_reduced_board_inner_ring_center_7x7_goal40_r2,Inner ring,Goal 40,mcts,30,0.26666666666666666,-13.6,19.733333333333334,55.0055768,321,10.933333333333334,171.3569370716511
corrected_reduced_board_inner_ring_center_7x7_goal40_r2,Inner ring,Goal 40,random,30,0.0,-38.46666666666667,3.1666666666666665,0.0009039,277,9.433333333333334,0.0032631768953068595
corrected_reduced_board_inner_ring_center_7x7_goal40_r2,Inner ring,Goal 40,rule,30,0.6,9.3,34.96666666666667,1.5323461999999999,338,11.333333333333334,4.533568639053255
