agent,move1,move2,mobilize,capture,swap,played_actions,move1_share,move2_share,mobilize_share,capture_share,swap_share,most_used_card,most_used_share
expectimax_d2,1825,1366,1155,1346,1039,6731,0.2711335611350468,0.20294161343039668,0.1715941167731392,0.1999702867330263,0.15436042192839103,move1,0.2711335611350468
expectimax_d3,1895,1369,1105,1376,1025,6770,0.2799113737075332,0.20221565731166913,0.16322008862629248,0.20324963072378138,0.15140324963072377,move1,0.2799113737075332
greedy,1806,1394,1206,1310,1022,6738,0.2680320569902048,0.20688631641436628,0.17898486197684774,0.1944197091124963,0.1516770555060849,move1,0.2680320569902048
mcts,1802,1431,1208,1329,980,6750,0.26696296296296296,0.212,0.17896296296296296,0.1968888888888889,0.1451851851851852,move1,0.26696296296296296
random,1718,1370,1147,1195,848,6278,0.27365402994584265,0.2182223638101306,0.18270149729213125,0.1903472443453329,0.1350748646065626,move1,0.27365402994584265
rule,1785,1332,1113,1307,999,6536,0.2731028151774786,0.20379436964504283,0.1702876376988984,0.19996940024479803,0.15284577723378212,move1,0.2731028151774786
