mode,agent,capture_type
corrected_reduced_board_default_fixed_r2,expectimax_d3,net
corrected_reduced_board_default_fixed_r2,expectimax_d2,net
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,net
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,net
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d2,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,expectimax_d3,adjacent
corrected_reduced_board_default_fixed_r2,greedy,net
corrected_reduced_board_default_fixed_r2,greedy,net
corrected_reduced_board_default_fixed_r2,expectimax_d2,net
corrected_reduced_board_default_fixed_r2,expectimax_d2,net
corrected_reduced_board_default_fixed_r2,greedy,adjacent
corrected_reduced_board_default_fixed_r2,greedy,adjacent
corrected_reduced_board_default_fixed_r2,greedy,adjacent
corrected_reduced_board_default_fixed_r2,greedy,adjacent
corrected_reduced_board_default_fixed_r2,greedy,adjacent
