mode,board,agent,games,win_points_rate,mean_margin,mean_score,total_decision_time,total_decisions,mean_turns,milliseconds_per_decision
corrected_reduced_depth_bottleneck_7x7_goal20_r2,Bottleneck 7x7,expectimax_d2,6,0.6666666666666666,3.6666666666666665,20.166666666666668,6.3351489999999995,74,13.0,85.61012162162162
corrected_reduced_depth_bottleneck_7x7_goal20_r2,Bottleneck 7x7,expectimax_d3,6,0.3333333333333333,-1.5,18.0,50.6911607,75,13.166666666666666,675.8821426666667
corrected_reduced_depth_bottleneck_7x7_goal20_r2,Bottleneck 7x7,expectimax_d4,6,0.8333333333333334,4.5,20.333333333333332,434.1593319,75,13.166666666666666,5788.7910919999995
corrected_reduced_depth_bottleneck_7x7_goal20_r2,Bottleneck 7x7,rule,6,0.16666666666666666,-6.666666666666667,14.333333333333334,0.23422769999999998,63,10.5,3.7178999999999993
corrected_reduced_depth_default_goal20_r2,Default,expectimax_d2,6,0.5,-3.3333333333333335,11.166666666666666,8.217740299999999,76,12.666666666666666,108.12816184210526
corrected_reduced_depth_default_goal20_r2,Default,expectimax_d3,6,0.5,-0.3333333333333333,12.333333333333334,68.3383348,74,12.333333333333334,923.4910108108107
corrected_reduced_depth_default_goal20_r2,Default,expectimax_d4,6,0.5,-1.0,12.0,633.5097708,74,12.333333333333334,8560.942848648649
corrected_reduced_depth_default_goal20_r2,Default,rule,6,0.5,4.666666666666667,15.833333333333334,0.2720345,72,12.0,3.778256944444445
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,Inner ring,expectimax_d2,6,0.5,-0.16666666666666666,14.166666666666666,6.3378017,32,5.333333333333333,198.056303125
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,Inner ring,expectimax_d3,6,0.5,-0.16666666666666666,14.166666666666666,52.0321306,32,5.333333333333333,1626.0040812500001
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,Inner ring,expectimax_d4,6,0.5,-0.16666666666666666,14.166666666666666,433.8576468,32,5.333333333333333,13558.0514625
corrected_reduced_depth_inner_ring_center_7x7_goal20_r2,Inner ring,rule,6,0.5,0.5,14.0,0.1498999,30,5.0,4.996663333333333
