mode,deck,agent,games,win_points_rate,mean_margin,mean_score,total_decision_time,total_decisions,mean_turns,milliseconds_per_decision
corrected_reduced_board_default_fixed_r2,Default,expectimax_d2,30,0.43333333333333335,2.533333333333333,25.366666666666667,93.8185589,750,25.0,125.09141186666668
corrected_reduced_board_default_fixed_r2,Default,expectimax_d3,30,0.6,5.366666666666666,27.0,750.7558827,750,25.0,1001.0078436000001
corrected_reduced_board_default_fixed_r2,Default,greedy,30,0.36666666666666664,-1.9333333333333333,23.033333333333335,7.9712343,750,25.0,10.6283124
corrected_reduced_board_default_fixed_r2,Default,mcts,30,0.7666666666666667,12.866666666666667,31.8,130.6249482,750,25.0,174.1665976
corrected_reduced_board_default_fixed_r2,Default,random,30,0.0,-38.56666666666667,4.066666666666666,0.0040158,748,25.0,0.005368716577540107
corrected_reduced_board_default_fixed_r2,Default,rule,30,0.8333333333333334,19.733333333333334,36.06666666666667,4.5126179,748,25.0,6.032911631016043
corrected_reduced_deck_capture_heavy_fixed_r2,Capture-heavy,expectimax_d2,30,0.5333333333333333,4.333333333333333,35.3,51.083020499999996,713,25.0,71.64519004207574
corrected_reduced_deck_capture_heavy_fixed_r2,Capture-heavy,expectimax_d3,30,0.6,7.633333333333334,37.166666666666664,480.4910066,706,25.0,680.5821623229461
corrected_reduced_deck_capture_heavy_fixed_r2,Capture-heavy,greedy,30,0.35,1.4333333333333333,34.3,3.3218094000000002,714,25.0,4.652394117647059
corrected_reduced_deck_capture_heavy_fixed_r2,Capture-heavy,mcts,30,0.7,8.933333333333334,34.96666666666667,98.7762951,705,25.0,140.10822000000002
corrected_reduced_deck_capture_heavy_fixed_r2,Capture-heavy,random,30,0.0,-36.53333333333333,8.733333333333333,0.0018788,675,25.0,0.0027834074074074076
corrected_reduced_deck_capture_heavy_fixed_r2,Capture-heavy,rule,30,0.8166666666666667,14.2,42.833333333333336,1.387897,704,25.0,1.9714446022727272
corrected_reduced_deck_movement_heavy_fixed_r2,Movement-heavy,expectimax_d2,30,0.4,0.03333333333333333,17.266666666666666,86.2793056,750,25.0,115.03907413333334
corrected_reduced_deck_movement_heavy_fixed_r2,Movement-heavy,expectimax_d3,30,0.6166666666666667,4.2,19.366666666666667,726.2232788,750,25.0,968.2977050666666
corrected_reduced_deck_movement_heavy_fixed_r2,Movement-heavy,greedy,30,0.4166666666666667,-4.5,14.8,7.3247735,750,25.0,9.766364666666666
corrected_reduced_deck_movement_heavy_fixed_r2,Movement-heavy,mcts,30,0.7333333333333333,13.3,24.9,140.3158946,750,25.0,187.08785946666666
corrected_reduced_deck_movement_heavy_fixed_r2,Movement-heavy,random,30,0.0,-28.3,2.0,0.0024156,750,25.0,0.0032208
corrected_reduced_deck_movement_heavy_fixed_r2,Movement-heavy,rule,30,0.8333333333333334,15.266666666666667,26.3,4.1931855,750,25.0,5.590914000000001
corrected_reduced_deck_swap_heavy_fixed_r2,Swap-heavy,expectimax_d2,30,0.4666666666666667,-1.5,20.433333333333334,72.3807554,748,25.0,96.76571577540106
corrected_reduced_deck_swap_heavy_fixed_r2,Swap-heavy,expectimax_d3,30,0.5666666666666667,2.2333333333333334,22.1,670.0091497,749,25.0,894.538250600801
corrected_reduced_deck_swap_heavy_fixed_r2,Swap-heavy,greedy,30,0.26666666666666666,-4.5,18.533333333333335,5.8428677,749,25.0,7.800891455273698
corrected_reduced_deck_swap_heavy_fixed_r2,Swap-heavy,mcts,30,0.7666666666666667,10.2,27.833333333333332,124.94030070000001,747,25.0,167.2560919678715
corrected_reduced_deck_swap_heavy_fixed_r2,Swap-heavy,random,30,0.0,-27.6,5.333333333333333,0.0023346,744,25.0,0.0031379032258064517
corrected_reduced_deck_swap_heavy_fixed_r2,Swap-heavy,rule,30,0.9333333333333333,21.166666666666668,34.93333333333333,3.2406007,749,25.0,4.326569692923899
