mode,pair,game,agent,opponent,seat,outcome,score,margin,decision_time_seconds,decisions,turns,milliseconds_per_decision,board
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_expectimax_d3,0,expectimax_d2,expectimax_d3,first,0.0,18,-3,1.210949,14,15,86.49635714285715,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_expectimax_d3,0,expectimax_d3,expectimax_d2,second,1.0,21,3,10.5107761,14,15,750.7697214285714,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_expectimax_d4,0,expectimax_d2,expectimax_d4,first,0.0,18,-3,1.1798932,14,15,84.27808571428571,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_expectimax_d4,0,expectimax_d4,expectimax_d2,second,1.0,21,3,77.3095606,14,15,5522.111471428571,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_rule,0,expectimax_d2,rule,first,1.0,21,9,1.1562553,9,9,128.47281111111113,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d2_rule,0,rule,expectimax_d2,second,0.0,12,-9,0.0365198,8,8,4.564975,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_expectimax_d2,0,expectimax_d3,expectimax_d2,first,0.0,15,-6,7.6473866,13,14,588.2605076923077,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_expectimax_d2,0,expectimax_d2,expectimax_d3,second,1.0,21,6,0.8840125,13,14,68.00096153846154,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_expectimax_d4,0,expectimax_d3,expectimax_d4,first,0.0,15,-5,7.5025841,13,14,577.1218538461538,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_expectimax_d4,0,expectimax_d4,expectimax_d3,second,1.0,20,5,66.0985984,13,14,5084.507569230769,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_rule,0,expectimax_d3,rule,first,1.0,21,6,6.8788952,12,12,573.2412666666667,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d3_rule,0,rule,expectimax_d3,second,0.0,15,-6,0.0262761,11,11,2.3887363636363634,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d4_expectimax_d2,0,expectimax_d4,expectimax_d2,first,0.0,15,-6,78.2261218,13,14,6017.393984615385,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d4_expectimax_d2,0,expectimax_d2,expectimax_d4,second,1.0,21,6,0.8812172,13,14,67.78593846153846,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d4_expectimax_d3,0,expectimax_d4,expectimax_d3,first,1.0,22,4,73.1365194,13,14,5625.886107692307,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d4_expectimax_d3,0,expectimax_d3,expectimax_d4,second,0.0,18,-4,10.4487574,12,13,870.7297833333333,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d4_rule,0,expectimax_d4,rule,first,1.0,22,14,74.2581545,11,11,6750.741318181818,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,expectimax_d4_rule,0,rule,expectimax_d4,second,0.0,8,-14,0.0290849,10,10,2.90849,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,rule_expectimax_d2,0,rule,expectimax_d2,first,0.0,15,-7,0.0383598,11,11,3.4872545454545456,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,rule_expectimax_d2,0,expectimax_d2,rule,second,1.0,22,7,1.0228218,11,11,92.9838,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,rule_expectimax_d3,0,rule,expectimax_d3,first,1.0,21,3,0.061588,12,12,5.1323333333333325,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,rule_expectimax_d3,0,expectimax_d3,rule,second,0.0,18,-3,7.7027613,11,11,700.2510272727272,Bottleneck 7x7
corrected_reduced_depth_bottleneck_7x7_goal20_r2,rule_expectimax_d4,0,rule,expectimax_d4,first,0.0,15,-7,0.0423991,11,11,3.854463636363637,Bottleneck 7x7
