agent,adjacent,net,total_captures,net_share
expectimax_d2,1066,280,1346,0.20802377414561665
expectimax_d3,1111,265,1376,0.1925872093023256
greedy,1017,293,1310,0.22366412213740458
mcts,1032,297,1329,0.2234762979683973
random,866,329,1195,0.27531380753138074
rule,1042,265,1307,0.20275439938791126
