game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,turns_a,turns_b,mode,pair
0,expectimax_d2,expectimax_d3,B,12,33,2.7667346,26.5035188,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_expectimax_d3
1,expectimax_d2,expectimax_d3,A,33,20,2.5727109,23.1075117,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_expectimax_d3
2,expectimax_d2,expectimax_d3,B,18,29,2.5842277,20.9304432,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_expectimax_d3
0,expectimax_d2,greedy,B,13,30,2.7882476,0.2177102,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_greedy
1,expectimax_d2,greedy,A,37,11,2.2731658,0.1756707,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_greedy
2,expectimax_d2,greedy,B,20,27,2.7848967,0.2338557,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_greedy
0,expectimax_d2,mcts,B,21,30,2.4703436,4.1508112,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_mcts
1,expectimax_d2,mcts,A,27,26,2.5935864,4.0691467,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_mcts
2,expectimax_d2,mcts,B,11,36,2.6922649,3.8982666,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_mcts
0,expectimax_d2,random,A,46,4,2.1268017,8.71e-05,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_random
1,expectimax_d2,random,A,45,2,2.5831327,9.92e-05,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_random
2,expectimax_d2,random,A,34,5,3.0930398,8.83e-05,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_random
0,expectimax_d2,rule,B,11,41,2.4557199,0.0996748,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_rule
1,expectimax_d2,rule,B,21,31,2.7345703,0.105349,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_rule
2,expectimax_d2,rule,B,16,34,2.5025123,0.1127684,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d2_rule
0,expectimax_d3,expectimax_d2,B,13,32,24.6080505,2.8081342,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_expectimax_d2
1,expectimax_d3,expectimax_d2,A,28,14,24.3877612,2.5801475,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_expectimax_d2
2,expectimax_d3,expectimax_d2,A,25,22,21.0038343,2.3910545,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_expectimax_d2
0,expectimax_d3,greedy,B,18,29,24.4300771,0.197609,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_greedy
1,expectimax_d3,greedy,A,37,6,24.487565,0.2369481,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_greedy
2,expectimax_d3,greedy,A,25,21,21.3594703,0.2071191,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_greedy
0,expectimax_d3,mcts,B,16,32,20.6065689,3.9023276,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_mcts
1,expectimax_d3,mcts,A,28,24,24.6862453,3.9948898,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_mcts
2,expectimax_d3,mcts,A,27,23,20.8430961,3.8421674,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_mcts
0,expectimax_d3,random,A,46,2,22.9973336,9.06e-05,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_random
1,expectimax_d3,random,A,47,2,23.3693891,8.26e-05,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_random
2,expectimax_d3,random,A,43,0,24.3629964,7.64e-05,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_random
0,expectimax_d3,rule,B,9,42,22.7867341,0.1065419,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_rule
1,expectimax_d3,rule,A,27,26,22.446959,0.1170819,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_rule
2,expectimax_d3,rule,B,24,26,24.6940106,0.078929,25,25,25,25,corrected_reduced_board_default_fixed_r2,expectimax_d3_rule
0,greedy,expectimax_d2,B,6,40,0.2614166,3.4297699,25,25,25,25,corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2
1,greedy,expectimax_d2,A,24,19,0.2904997,3.7665218,25,25,25,25,corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2
