mode,pair,game,agent,opponent,seat,outcome,score,margin,decision_time_seconds,decisions,turns,milliseconds_per_decision
corrected_reduced_board_default_goal10_r2,expectimax_d2_random,2,random,expectimax_d2,second,0.0,3,-8,3.04e-05,8,8,0.0038
corrected_reduced_board_default_goal10_r2,expectimax_d2_rule,0,expectimax_d2,rule,first,0.0,0,-10,0.5273604,5,5,105.47207999999998
corrected_reduced_board_default_goal10_r2,expectimax_d2_rule,0,rule,expectimax_d2,second,1.0,10,10,0.0124817,5,5,2.49634
corrected_reduced_board_default_goal10_r2,expectimax_d2_rule,1,expectimax_d2,rule,first,0.0,9,-4,0.8802855,9,9,97.80950000000001
corrected_reduced_board_default_goal10_r2,expectimax_d2_rule,1,rule,expectimax_d2,second,1.0,13,4,0.0290125,9,9,3.223611111111111
corrected_reduced_board_default_goal10_r2,expectimax_d2_rule,2,expectimax_d2,rule,first,1.0,12,8,0.6663601,8,8,83.2950125
corrected_reduced_board_default_goal10_r2,expectimax_d2_rule,2,rule,expectimax_d2,second,0.0,4,-8,0.0195502,7,7,2.792885714285714
corrected_reduced_board_default_goal10_r2,expectimax_d3_expectimax_d2,0,expectimax_d3,expectimax_d2,first,0.0,6,-5,9.1788327,8,8,1147.3540874999999
corrected_reduced_board_default_goal10_r2,expectimax_d3_expectimax_d2,0,expectimax_d2,expectimax_d3,second,1.0,11,5,0.9012027,8,8,112.6503375
corrected_reduced_board_default_goal10_r2,expectimax_d3_expectimax_d2,1,expectimax_d3,expectimax_d2,first,1.0,10,7,7.1060737,8,8,888.2592125
corrected_reduced_board_default_goal10_r2,expectimax_d3_expectimax_d2,1,expectimax_d2,expectimax_d3,second,0.0,3,-7,0.7225996,7,7,103.22851428571428
corrected_reduced_board_default_goal10_r2,expectimax_d3_expectimax_d2,2,expectimax_d3,expectimax_d2,first,1.0,12,9,9.1644375,8,8,1145.5546875
corrected_reduced_board_default_goal10_r2,expectimax_d3_expectimax_d2,2,expectimax_d2,expectimax_d3,second,0.0,3,-9,0.9165961,7,7,130.9423
corrected_reduced_board_default_goal10_r2,expectimax_d3_greedy,0,expectimax_d3,greedy,first,0.0,6,-5,9.0090901,8,8,1126.1362625
corrected_reduced_board_default_goal10_r2,expectimax_d3_greedy,0,greedy,expectimax_d3,second,1.0,11,5,0.0601215,8,8,7.515187500000001
