mode,pair,game,agent,opponent,seat,outcome,score,margin,decision_time_seconds,decisions,turns,milliseconds_per_decision
corrected_reduced_board_default_fixed_r2,expectimax_d3_mcts,1,expectimax_d3,mcts,first,1.0,28,4,24.6862453,25,25,987.449812
corrected_reduced_board_default_fixed_r2,expectimax_d3_mcts,1,mcts,expectimax_d3,second,0.0,24,-4,3.9948898,25,25,159.79559200000003
corrected_reduced_board_default_fixed_r2,expectimax_d3_mcts,2,expectimax_d3,mcts,first,1.0,27,4,20.8430961,25,25,833.723844
corrected_reduced_board_default_fixed_r2,expectimax_d3_mcts,2,mcts,expectimax_d3,second,0.0,23,-4,3.8421674,25,25,153.686696
corrected_reduced_board_default_fixed_r2,expectimax_d3_random,0,expectimax_d3,random,first,1.0,46,44,22.9973336,25,25,919.8933440000001
corrected_reduced_board_default_fixed_r2,expectimax_d3_random,0,random,expectimax_d3,second,0.0,2,-44,9.06e-05,25,25,0.003624
corrected_reduced_board_default_fixed_r2,expectimax_d3_random,1,expectimax_d3,random,first,1.0,47,45,23.3693891,25,25,934.775564
corrected_reduced_board_default_fixed_r2,expectimax_d3_random,1,random,expectimax_d3,second,0.0,2,-45,8.26e-05,25,25,0.003304
corrected_reduced_board_default_fixed_r2,expectimax_d3_random,2,expectimax_d3,random,first,1.0,43,43,24.3629964,25,25,974.519856
corrected_reduced_board_default_fixed_r2,expectimax_d3_random,2,random,expectimax_d3,second,0.0,0,-43,7.64e-05,25,25,0.0030559999999999997
corrected_reduced_board_default_fixed_r2,expectimax_d3_rule,0,expectimax_d3,rule,first,0.0,9,-33,22.7867341,25,25,911.469364
corrected_reduced_board_default_fixed_r2,expectimax_d3_rule,0,rule,expectimax_d3,second,1.0,42,33,0.1065419,25,25,4.261676
corrected_reduced_board_default_fixed_r2,expectimax_d3_rule,1,expectimax_d3,rule,first,1.0,27,1,22.446959,25,25,897.8783599999999
corrected_reduced_board_default_fixed_r2,expectimax_d3_rule,1,rule,expectimax_d3,second,0.0,26,-1,0.1170819,25,25,4.683276
corrected_reduced_board_default_fixed_r2,expectimax_d3_rule,2,expectimax_d3,rule,first,0.0,24,-2,24.6940106,25,25,987.760424
corrected_reduced_board_default_fixed_r2,expectimax_d3_rule,2,rule,expectimax_d3,second,1.0,26,2,0.078929,25,25,3.15716
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2,0,greedy,expectimax_d2,first,0.0,6,-34,0.2614166,25,25,10.456664
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2,0,expectimax_d2,greedy,second,1.0,40,34,3.4297699,25,25,137.190796
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2,1,greedy,expectimax_d2,first,1.0,24,5,0.2904997,25,25,11.619988000000001
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2,1,expectimax_d2,greedy,second,0.0,19,-5,3.7665218,25,25,150.660872
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2,2,greedy,expectimax_d2,first,0.0,20,-6,0.415393,25,25,16.61572
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d2,2,expectimax_d2,greedy,second,1.0,26,6,3.9481293,25,25,157.925172
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d3,0,greedy,expectimax_d3,first,0.0,15,-16,0.2173566,25,25,8.694264
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d3,0,expectimax_d3,greedy,second,1.0,31,16,35.87238,25,25,1434.8952
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d3,1,greedy,expectimax_d3,first,0.0,24,-2,0.2633619,25,25,10.534476
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d3,1,expectimax_d3,greedy,second,1.0,26,2,32.1262149,25,25,1285.0485959999999
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d3,2,greedy,expectimax_d3,first,1.0,25,5,0.2376213,25,25,9.504852000000001
corrected_reduced_board_default_fixed_r2,greedy_expectimax_d3,2,expectimax_d3,greedy,second,0.0,20,-5,26.1781171,25,25,1047.1246840000001
corrected_reduced_board_default_fixed_r2,greedy_mcts,0,greedy,mcts,first,0.0,19,-13,0.2237549,25,25,8.950196
corrected_reduced_board_default_fixed_r2,greedy_mcts,0,mcts,greedy,second,1.0,32,13,4.6397794,25,25,185.59117600000002
corrected_reduced_board_default_fixed_r2,greedy_mcts,1,greedy,mcts,first,0.0,26,-1,0.2852039,25,25,11.408156000000002
corrected_reduced_board_default_fixed_r2,greedy_mcts,1,mcts,greedy,second,1.0,27,1,5.5900605,25,25,223.60242
corrected_reduced_board_default_fixed_r2,greedy_mcts,2,greedy,mcts,first,0.0,21,-8,0.3485264,25,25,13.941056000000001
corrected_reduced_board_default_fixed_r2,greedy_mcts,2,mcts,greedy,second,1.0,29,8,6.0091835,25,25,240.36734
corrected_reduced_board_default_fixed_r2,greedy_random,0,greedy,random,first,1.0,39,35,0.2063016,25,25,8.252064
corrected_reduced_board_default_fixed_r2,greedy_random,0,random,greedy,second,0.0,4,-35,8.99e-05,25,25,0.0035960000000000002
corrected_reduced_board_default_fixed_r2,greedy_random,1,greedy,random,first,1.0,49,46,0.237171,25,25,9.486839999999999
corrected_reduced_board_default_fixed_r2,greedy_random,1,random,greedy,second,0.0,3,-46,9.49e-05,25,25,0.003796
corrected_reduced_board_default_fixed_r2,greedy_random,2,greedy,random,first,1.0,34,29,0.260199,25,25,10.407960000000001
corrected_reduced_board_default_fixed_r2,greedy_random,2,random,greedy,second,0.0,5,-29,0.0001015,25,25,0.00406
corrected_reduced_board_default_fixed_r2,greedy_rule,0,greedy,rule,first,0.0,6,-36,0.4010091,25,25,16.040364
corrected_reduced_board_default_fixed_r2,greedy_rule,0,rule,greedy,second,1.0,42,36,0.234944,25,25,9.39776
corrected_reduced_board_default_fixed_r2,greedy_rule,1,greedy,rule,first,0.0,24,-5,0.3024658,25,25,12.098632
corrected_reduced_board_default_fixed_r2,greedy_rule,1,rule,greedy,second,1.0,29,5,0.2213982,25,25,8.855928
corrected_reduced_board_default_fixed_r2,greedy_rule,2,greedy,rule,first,0.0,18,-16,0.202352,25,25,8.09408
corrected_reduced_board_default_fixed_r2,greedy_rule,2,rule,greedy,second,1.0,34,16,0.0981693,25,25,3.926772
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d2,0,mcts,expectimax_d2,first,1.0,30,8,4.5643571,25,25,182.57428399999998
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d2,0,expectimax_d2,mcts,second,0.0,22,-8,3.3756975,25,25,135.0279
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d2,1,mcts,expectimax_d2,first,1.0,35,21,4.8464885,25,25,193.85954
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d2,1,expectimax_d2,mcts,second,0.0,14,-21,2.8564089,25,25,114.256356
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d2,2,mcts,expectimax_d2,first,1.0,29,8,4.1564464,25,25,166.257856
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d2,2,expectimax_d2,mcts,second,0.0,21,-8,3.1468287,25,25,125.873148
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d3,0,mcts,expectimax_d3,first,0.0,19,-15,4.9148979,25,25,196.595916
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d3,0,expectimax_d3,mcts,second,1.0,34,15,26.0666916,25,25,1042.6676639999998
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d3,1,mcts,expectimax_d3,first,1.0,35,21,4.2489073,25,25,169.956292
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d3,1,expectimax_d3,mcts,second,0.0,14,-21,24.5944263,25,25,983.7770519999999
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d3,2,mcts,expectimax_d3,first,1.0,39,24,3.9147537,25,25,156.590148
corrected_reduced_board_default_fixed_r2,mcts_expectimax_d3,2,expectimax_d3,mcts,second,0.0,15,-24,18.2185175,25,25,728.7407000000001
corrected_reduced_board_default_fixed_r2,mcts_greedy,0,mcts,greedy,first,1.0,26,1,4.0565678,25,25,162.262712
corrected_reduced_board_default_fixed_r2,mcts_greedy,0,greedy,mcts,second,0.0,25,-1,0.194185,25,25,7.7674
corrected_reduced_board_default_fixed_r2,mcts_greedy,1,mcts,greedy,first,1.0,35,18,4.1711691,25,25,166.846764
corrected_reduced_board_default_fixed_r2,mcts_greedy,1,greedy,mcts,second,0.0,17,-18,0.2335711,25,25,9.342844
corrected_reduced_board_default_fixed_r2,mcts_greedy,2,mcts,greedy,first,1.0,35,21,4.0440745,25,25,161.76298
