seat,agent,games,win_points_rate,mean_margin,mean_score,total_decision_time,total_decisions,mean_turns,milliseconds_per_decision
first,expectimax_d2,180,0.5972222222222222,7.605555555555555,30.538888888888888,358.385235,3383,19.166666666666668,105.93710759680758
first,expectimax_d3,180,0.6333333333333333,8.45,31.594444444444445,3247.8141834,3438,19.477777777777778,944.6812633507853
first,greedy,180,0.5194444444444445,5.877777777777778,29.983333333333334,32.7112136,3404,19.2,9.609639717978848
first,mcts,180,0.6638888888888889,7.572222222222222,30.538888888888888,570.9888655,3405,19.344444444444445,167.69129676945667
first,random,180,0.005555555555555556,-36.28333333333333,4.588888888888889,0.0116018,3169,18.3,0.003661028715683181
first,rule,180,0.6833333333333333,11.233333333333333,33.95,15.5992868,3246,18.227777777777778,4.805695255699322
second,expectimax_d2,180,0.5388888888888889,5.938888888888889,29.783333333333335,387.935194,3348,18.977777777777778,115.87072700119475
second,expectimax_d3,180,0.6388888888888888,8.28888888888889,31.155555555555555,3226.6126475,3332,18.822222222222223,968.3711427070829
second,greedy,180,0.5,4.727777777777778,29.272222222222222,30.7594784,3334,18.872222222222224,9.225998320335933
second,mcts,180,0.5833333333333334,5.138888888888889,29.227777777777778,555.8367409,3345,19.11111111111111,166.16942926756352
second,random,180,0.0,-37.92777777777778,4.294444444444444,0.0096133,3109,17.783333333333335,0.003092087487938244
second,rule,180,0.6361111111111111,9.377777777777778,33.00555555555555,15.496461,3290,18.633333333333333,4.710170516717325
