game,agent_a,agent_b,winner,score_a,score_b,decision_time_a_seconds,decision_time_b_seconds,decisions_a,decisions_b,mode,pair,family,condition
0,greedy,random,A,83,7,0.5222999,0.0001685,50,50,screen_board_default,greedy_random,Board,Default 5×5
1,greedy,random,A,99,6,0.4393804,0.00017,50,50,screen_board_default,greedy_random,Board,Default 5×5
2,greedy,random,A,71,14,0.5242743,0.0001742,50,50,screen_board_default,greedy_random,Board,Default 5×5
3,greedy,random,A,71,19,0.6146951,0.0002685,50,50,screen_board_default,greedy_random,Board,Default 5×5
4,greedy,random,A,83,10,0.7473682,0.0002166,50,50,screen_board_default,greedy_random,Board,Default 5×5
5,greedy,random,A,60,24,0.6494305,0.0002051,50,50,screen_board_default,greedy_random,Board,Default 5×5
6,greedy,random,A,84,4,0.7593751,0.000730199,50,50,screen_board_default,greedy_random,Board,Default 5×5
7,greedy,random,A,76,16,0.8543398,0.0003335,50,50,screen_board_default,greedy_random,Board,Default 5×5
0,greedy,rule,B,31,76,1.1032432,0.4357721,50,50,screen_board_default,greedy_rule,Board,Default 5×5
1,greedy,rule,B,41,63,0.7011711,0.430774301,50,50,screen_board_default,greedy_rule,Board,Default 5×5
2,greedy,rule,B,36,71,0.689444,0.3059175,50,50,screen_board_default,greedy_rule,Board,Default 5×5
3,greedy,rule,B,41,68,0.8241917,0.4413652,50,50,screen_board_default,greedy_rule,Board,Default 5×5
4,greedy,rule,B,33,74,0.912763699,0.4515251,50,50,screen_board_default,greedy_rule,Board,Default 5×5
5,greedy,rule,B,34,65,0.8146947,0.481726,50,50,screen_board_default,greedy_rule,Board,Default 5×5
6,greedy,rule,B,47,64,0.6841359,0.4575944,50,50,screen_board_default,greedy_rule,Board,Default 5×5
7,greedy,rule,B,40,66,0.7077754,0.4525517,50,50,screen_board_default,greedy_rule,Board,Default 5×5
0,random,greedy,B,15,77,0.0002261,1.0132083,50,50,screen_board_default,random_greedy,Board,Default 5×5
1,random,greedy,B,11,85,0.0001998,0.938161899,50,50,screen_board_default,random_greedy,Board,Default 5×5
2,random,greedy,B,6,90,0.000222,1.1021247,50,50,screen_board_default,random_greedy,Board,Default 5×5
3,random,greedy,draw,0,0,3e-06,0.0,1,0,screen_board_default,random_greedy,Board,Default 5×5
4,random,greedy,B,16,81,0.0001814,0.7485724,50,50,screen_board_default,random_greedy,Board,Default 5×5
5,random,greedy,draw,0,0,1.18e-05,0.0093045,3,2,screen_board_default,random_greedy,Board,Default 5×5
6,random,greedy,B,14,80,0.000262101,0.8100196,50,50,screen_board_default,random_greedy,Board,Default 5×5
7,random,greedy,B,13,71,0.000205401,0.6942288,50,50,screen_board_default,random_greedy,Board,Default 5×5
0,random,rule,B,5,7,3.05e-05,0.0131927,8,7,screen_board_default,random_rule,Board,Default 5×5
1,random,rule,B,8,99,0.0004812,0.3221918,50,50,screen_board_default,random_rule,Board,Default 5×5
2,random,rule,B,9,94,0.000205499,0.3759278,50,50,screen_board_default,random_rule,Board,Default 5×5
3,random,rule,draw,0,0,4e-06,0.0,1,0,screen_board_default,random_rule,Board,Default 5×5
4,random,rule,B,2,109,0.0003081,0.3381586,50,50,screen_board_default,random_rule,Board,Default 5×5
5,random,rule,B,10,90,0.0001946,0.3766685,50,50,screen_board_default,random_rule,Board,Default 5×5
6,random,rule,B,8,98,0.000274001,0.3913711,50,50,screen_board_default,random_rule,Board,Default 5×5
7,random,rule,B,4,104,0.0002129,0.4290616,50,50,screen_board_default,random_rule,Board,Default 5×5
0,rule,greedy,A,61,45,0.3442639,0.648109001,50,50,screen_board_default,rule_greedy,Board,Default 5×5
1,rule,greedy,A,81,29,0.3773042,0.7082329,50,50,screen_board_default,rule_greedy,Board,Default 5×5
2,rule,greedy,A,76,30,0.493589,0.9664906,50,50,screen_board_default,rule_greedy,Board,Default 5×5
3,rule,greedy,A,84,20,0.4227172,0.8106682,50,50,screen_board_default,rule_greedy,Board,Default 5×5
4,rule,greedy,A,77,30,0.380032999,0.705167,50,50,screen_board_default,rule_greedy,Board,Default 5×5
5,rule,greedy,A,79,28,0.4194695,0.7080952,50,50,screen_board_default,rule_greedy,Board,Default 5×5
6,rule,greedy,A,72,33,0.4898218,0.731474,50,50,screen_board_default,rule_greedy,Board,Default 5×5
7,rule,greedy,A,81,24,0.377650699,0.7491511,50,50,screen_board_default,rule_greedy,Board,Default 5×5
0,rule,random,A,99,11,0.3679539,0.000190601,50,50,screen_board_default,rule_random,Board,Default 5×5
1,rule,random,A,96,11,0.6627057,0.0005464,50,50,screen_board_default,rule_random,Board,Default 5×5
2,rule,random,A,26,3,0.2664603,6.68e-05,15,15,screen_board_default,rule_random,Board,Default 5×5
